R₀ band,Near cutoff,Far cutoff,Group,n near,n far,τ₅₀ near,τ₅₀ far,Δτ₅₀,p,valid
15–25,<0.8 mm,>1.8 mm,Agar,64,27,12,8.667,-3.333,0.5593,True
15–25,<0.8 mm,>1.8 mm,1:1,514,72,6.5,9.5,3,2.193e-16,True
15–25,<0.8 mm,>1.8 mm,2:1,89,31,4.167,7.333,3.167,3.689e-08,True
15–25,<0.8 mm,>2.0 mm,Agar,64,25,12,8.667,-3.333,0.5451,True
15–25,<0.8 mm,>2.0 mm,1:1,514,59,6.5,10.33,3.833,1.241e-17,True
15–25,<0.8 mm,>2.0 mm,2:1,89,24,4.167,8.833,4.667,2.972e-07,True
15–25,<1.0 mm,>2.0 mm,Agar,68,25,12.17,8.667,-3.5,0.5365,True
15–25,<1.0 mm,>2.0 mm,1:1,562,59,6.667,10.33,3.667,9.286e-17,True
15–25,<1.0 mm,>2.0 mm,2:1,283,24,4.5,8.833,4.333,4.151e-08,True
15–25,<1.0 mm,>2.2 mm,Agar,68,21,12.17,8.667,-3.5,0.8996,True
15–25,<1.0 mm,>2.2 mm,1:1,562,47,6.667,10,3.333,3.213e-13,True
15–25,<1.0 mm,>2.2 mm,2:1,283,22,4.5,9.167,4.667,1.07e-08,True
15–25,<1.2 mm,>2.2 mm,Agar,71,21,12,8.667,-3.333,0.9252,True
15–25,<1.2 mm,>2.2 mm,1:1,591,47,6.667,10,3.333,7.969e-13,True
15–25,<1.2 mm,>2.2 mm,2:1,411,22,4.667,9.167,4.5,4.502e-09,True
20–30,<0.8 mm,>1.8 mm,Agar,161,53,13,11.5,-1.5,0.1145,True
20–30,<0.8 mm,>1.8 mm,1:1,582,155,7.667,11.17,3.5,6.004e-37,True
20–30,<0.8 mm,>1.8 mm,2:1,69,97,5.667,9.833,4.167,3.196e-20,True
20–30,<0.8 mm,>2.0 mm,Agar,161,48,13,11.5,-1.5,0.1828,True
20–30,<0.8 mm,>2.0 mm,1:1,582,127,7.667,11,3.333,4.355e-31,True
