trial_id,hydrogel_type,a_w,one_minus_aw,delta_um,max_slope,r0_um,alpha,y_near,y_far,transition_width_um
agar.1,agar,1.0,0.0,77.8,0.019651819889697084,,0.0008663615987829133,13.06320646469929,58.42952906557278,2308.5049046606528
agar.2,agar,1.0,0.0,92.4,0.018044858555902123,50.00000000250616,0.0009763793271839055,15.380617469222107,52.34342086643761,2048.3842133041094
agar.3,agar,1.0,0.0,163.5,0.011050033118718947,1676.0359301891704,0.0023675141077761966,52.51408061525961,61.848794256394555,844.7679333487047
agar.4,agar,1.0,0.0,100.1,0.005876544513638984,1630.8781590264964,0.001223708956433115,37.12282465929569,46.72730533706734,1634.3755510539283
agar.5,agar,1.0,0.0,101.6,0.01034138850323838,1151.1348298944235,0.001994984481849678,44.87668849658729,55.244075909696605,1002.5140637413238
0.5to1.2,0.5:1,0.93,0.07,337.3,0.06627798359912321,301.97923979065405,0.002269841758848165,7.342365808402017,65.74113597884427,881.1186912936623
0.5to1.3,0.5:1,0.93,0.07,232.3,0.02870546533950346,435.63680029155233,0.0011717299057038087,5.072176595535568,54.068903912589576,1706.8780017171998
0.5to1.4,0.5:1,0.93,0.07,236.9,0.04650777747352064,366.12082190075057,0.0025917847092196164,10.734969082314958,46.62358074676457,771.6690328812836
0.5to1.5,0.5:1,0.93,0.07,247.3,0.032858247029509284,364.4670251208025,0.0015693153166581198,4.555420557911949,46.431322335868735,1274.4411392472925
0.5to1.7,0.5:1,0.93,0.07,317.9,0.024076874391920917,,0.0006824898768744813,3.6124388381484622,74.1684286271339,2930.446396009806
1to1.1,1:1,0.87,0.13,420.5,0.03896351738073427,621.1833594008041,0.0013307924668849412,6.2031264144835,64.75999136569307,1502.8639324067633
1to1.2,1:1,0.87,0.13,286.6,0.02887214376259447,368.5739742062154,0.0017321260493319065,5.12972430129894,38.46695605037478,1154.6503793828483
1to1.3,1:1,0.87,0.13,420.1,0.021266540879545343,488.18697834699185,0.0011154899254469898,6.412182905231955,44.5416906567674,1792.9341667506112
1to1.4,1:1,0.87,0.13,363.7,0.00846379945547631,,0.0005768460760755074,14.14435576579535,43.48944384564709,3467.129417966615
1to1.5,1:1,0.87,0.13,462.7,0.027240754957791564,637.6609420112381,0.001407235267283803,4.859647263390598,43.57492905187325,1421.226461912322
2to1.1,2:1,0.75,0.25,681.1,0.02907060159231416,814.9954744397664,0.0014787819819457653,4.87998472811619,44.19693874464184,1352.464409505735
2to1.2,2:1,0.75,0.25,803.2,0.06201335273047053,1064.5615881567862,0.0034829221415082147,20.183007337846504,55.79296369685762,574.2304647481833
2to1.3,2:1,0.75,0.25,933.4,0.02797853074684671,1108.1228160128885,0.002041907535965275,11.134556838138531,38.538864089123194,979.4762812580227
2to1.4,2:1,0.75,0.25,872.9,0.043238841148243036,1006.4000496022046,0.0020440009956937876,5.78612298939271,48.09416612570893,978.4731045696715
2to1.5,2:1,0.75,0.25,1005.4,0.04404233093175404,1096.5306734435326,0.0019603747088623763,7.7559931220863625,52.688557016784046,1020.2131209704387
