file,genus,f_adaptive-bright,f_adaptive-dark,f_sauvola-bright,f_sauvola-dark
20251214_221838.JPG,Aspergillus,0.3049,0.3075,0.0636,0.124
20251214_221853.JPG,Aspergillus,0.3125,0.2963,0.0542,0.1167
20251214_221920.JPG,Aspergillus,0.3221,0.3118,0.073,0.1521
20251214_221942.JPG,Aspergillus,0.3166,0.2948,0.0489,0.1147
20251214_222017.JPG,Aspergillus,0.3215,0.3032,0.0822,0.1656
20251214_222031.JPG,Aspergillus,0.322,0.3051,0.0831,0.158
20251214_222052.JPG,Aspergillus,0.3229,0.3064,0.0737,0.1434
20251214_222121.JPG,Aspergillus,0.3051,0.285,0.0367,0.0791
20251214_222146.JPG,Aspergillus,0.3149,0.3005,0.0688,0.1356
20251214_222205.JPG,Aspergillus,0.319,0.3027,0.0556,0.1129
20251214_222452.JPG,Aspergillus,0.3064,0.3035,0.0474,0.1019
20251214_222530.JPG,Aspergillus,0.3039,0.2892,0.0437,0.0971
20251214_222552.JPG,Aspergillus,0.3166,0.2987,0.049,0.1125
20251210_155519.JPG,Mucor,0.3067,0.2745,0.0506,0.0673
20251210_155530.JPG,Mucor,0.3093,0.274,0.0212,0.044
20251210_155700.JPG,Mucor,0.2716,0.2389,0.0156,0.0286
20251210_155743.JPG,Mucor,0.3021,0.2723,0.0371,0.0672
20251210_155748.JPG,Mucor,0.2949,0.2615,0.0097,0.0199
20251210_155753.JPG,Mucor,0.2768,0.2291,0.021,0.0338
20251210_155801.JPG,Mucor,0.2728,0.2412,0.0136,0.0227
20251210_155811.JPG,Mucor,0.2826,0.2422,0.0085,0.0173
20251210_155819.JPG,Mucor,0.2728,0.2625,0.0236,0.0305
20251210_155850.JPG,Mucor,0.2667,0.2821,0.0024,0.0028
20251210_155926.JPG,Mucor,0.2695,0.2768,0.0232,0.0277
