file,genus,f_cellpose,dt_cellpose_um,n_cells,dinov2_p_asp,dinov2_pred
20251214_221838.JPG,Aspergillus,0.0045,6.58,14,0.9993,Aspergillus
20251214_221853.JPG,Aspergillus,0.0019,6.0189,5,0.9993,Aspergillus
20251214_221920.JPG,Aspergillus,0.0004,4.7931,2,0.9994,Aspergillus
20251214_221942.JPG,Aspergillus,0.0032,6.3057,5,0.9937,Aspergillus
20251214_222017.JPG,Aspergillus,0.0057,7.3416,11,0.973,Aspergillus
20251214_222031.JPG,Aspergillus,0.0056,5.9451,6,0.9997,Aspergillus
20251214_222052.JPG,Aspergillus,0.0046,6.8433,6,0.9997,Aspergillus
20251214_222121.JPG,Aspergillus,0.0014,7.1588,2,0.9944,Aspergillus
20251214_222146.JPG,Aspergillus,0.0033,5.64,9,0.9967,Aspergillus
20251214_222205.JPG,Aspergillus,0.0025,7.1588,5,0.9953,Aspergillus
20251214_222452.JPG,Aspergillus,0.0007,4.7931,4,0.9906,Aspergillus
20251214_222530.JPG,Aspergillus,0.0032,7.5785,6,0.9922,Aspergillus
20251214_222552.JPG,Aspergillus,0.0005,5.64,1,0.9974,Aspergillus
20251210_155519.JPG,Mucor,0.0027,3.9881,4,0.0007,Mucor
20251210_155530.JPG,Mucor,0.0025,3.76,6,0.0767,Mucor
20251210_155700.JPG,Mucor,0.0011,3.3892,3,0.002,Mucor
20251210_155743.JPG,Mucor,0.0,0.0,0,0.004,Mucor
20251210_155748.JPG,Mucor,0.0041,3.76,14,0.0013,Mucor
20251210_155753.JPG,Mucor,0.0188,5.64,10,0.0028,Mucor
20251210_155801.JPG,Mucor,0.0017,4.7,2,0.0018,Mucor
20251210_155811.JPG,Mucor,0.0019,3.3892,4,0.0078,Mucor
20251210_155819.JPG,Mucor,0.0014,3.9881,3,0.0008,Mucor
20251210_155850.JPG,Mucor,0.0016,3.76,2,0.0157,Mucor
20251210_155926.JPG,Mucor,0.0,0.0,0,0.0538,Mucor
