file,genus,mag,area_um2,equiv_diameter_um,perimeter_um,circularity,solidity
Pink_10X_1.TIF,Aspergillus,10,194.0,15.7165,79.0,0.3906,0.8879
Pink_10X_1.TIF,Aspergillus,10,124.0,12.5651,42.0,0.8834,1.0925
Pink_10X_1.TIF,Aspergillus,10,150.0,13.8198,46.0,0.8908,1.0345
Pink_10X_1.TIF,Aspergillus,10,173.0,14.8415,74.0,0.397,1.0176
Pink_10X_1.TIF,Aspergillus,10,179.0,15.0967,55.0,0.7436,0.9446
Pink_10X_1.TIF,Aspergillus,10,831.0,32.5279,185.0,0.3051,0.7792
Pink_10X_1.TIF,Aspergillus,10,168.0,14.6255,57.0,0.6498,0.8638
Pink_10X_1.TIF,Aspergillus,10,1463907.0,1365.2488,16038.0,0.0715,0.7337
Pink_10X_1.TIF,Aspergillus,10,257.0,18.0893,59.0,0.9278,1.1006
Pink_10X_1.TIF,Aspergillus,10,124.0,12.5651,48.0,0.6763,1.0973
Pink_10X_1.TIF,Aspergillus,10,476.0,24.6183,152.0,0.2589,0.5577
Pink_10X_1.TIF,Aspergillus,10,1243.0,39.7824,209.0,0.3576,0.7766
Pink_10X_1.TIF,Aspergillus,10,125.0,12.6157,58.0,0.4669,0.9294
Pink_10X_1.TIF,Aspergillus,10,330.0,20.498,77.0,0.6994,0.9322
Pink_10X_1.TIF,Aspergillus,10,103.0,11.4518,35.0,1.0566,1.1016
Pink_10X_1.TIF,Aspergillus,10,156.0,14.0935,58.0,0.5827,0.8298
Pink_10X_1.TIF,Aspergillus,10,103.0,11.4518,32.0,1.264,1.1319
Pink_10X_1.TIF,Aspergillus,10,179.0,15.0967,67.0,0.5011,0.8384
Pink_10X_1.TIF,Aspergillus,10,1477.0,43.3656,315.0,0.1871,0.5118
Pink_10X_1.TIF,Aspergillus,10,236.0,17.3345,68.0,0.6414,0.8806
Pink_10X_1.TIF,Aspergillus,10,57.0,8.5191,27.0,0.9826,1.1753
Pink_10X_1.TIF,Aspergillus,10,271.0,18.5755,94.0,0.3854,0.7012
Pink_10X_1.TIF,Aspergillus,10,56.0,8.444,26.0,1.041,1.1789
Pink_10X_1.TIF,Aspergillus,10,69.0,9.373,27.0,1.1894,1.2105
Pink_10X_1.TIF,Aspergillus,10,72.0,9.5746,27.0,1.2411,1.2
Pink_10X_1.TIF,Aspergillus,10,90.0,10.7047,29.0,1.3448,1.1688
Pink_10X_1.TIF,Aspergillus,10,20808.0,162.7685,998.0,0.2625,0.6998
Pink_10X_1.TIF,Aspergillus,10,82.0,10.2179,28.0,1.3143,1.2059
Pink_10X_1.TIF,Aspergillus,10,98.0,11.1704,32.0,1.2026,1.1598
Pink_10X_1.TIF,Aspergillus,10,168.0,14.6255,41.0,1.2559,1.0945
Pink_10X_1.TIF,Aspergillus,10,54.0,8.2919,25.0,1.0857,1.3171
Pink_10X_1.TIF,Aspergillus,10,122.0,12.4634,41.0,0.912,1.0893
Pink_10X_1.TIF,Aspergillus,10,59.0,8.6672,29.0,0.8816,1.1346
Pink_10X_1.TIF,Aspergillus,10,425.0,23.2621,84.0,0.7569,0.9907
Pink_10X_1.TIF,Aspergillus,10,58.0,8.5935,32.0,0.7118,1.045
Pink_10X_1.TIF,Aspergillus,10,83.0,10.28,33.0,0.9578,1.2029
Pink_10X_1.TIF,Aspergillus,10,897.0,33.7949,149.0,0.5077,0.7472
Pink_10X_1.TIF,Aspergillus,10,180.0,15.1388,52.0,0.8365,0.9863
Pink_10X_1.TIF,Aspergillus,10,66.0,9.167,27.0,1.1377,1.2222
Pink_10X_1.TIF,Aspergillus,10,127.0,12.7162,40.0,0.9975,1.1339
Pink_10X_1.TIF,Aspergillus,10,461.0,24.2273,87.0,0.7654,0.9266
Pink_10X_1.TIF,Aspergillus,10,268.0,18.4724,64.0,0.8222,0.9675
Pink_10X_1.TIF,Aspergillus,10,167.0,14.5819,71.0,0.4163,0.8392
Pink_10X_1.TIF,Aspergillus,10,128.0,12.7662,37.0,1.1749,1.1034
Pink_10X_1.TIF,Aspergillus,10,527.0,25.9036,99.0,0.6757,0.8654
Pink_10X_1.TIF,Aspergillus,10,128.0,12.7662,64.0,0.3927,0.8393
Pink_10X_1.TIF,Aspergillus,10,99.0,11.2272,43.0,0.6728,1.1
Pink_10X_1.TIF,Aspergillus,10,112.0,11.9416,46.0,0.6651,0.9069
Pink_10X_1.TIF,Aspergillus,10,334.0,20.6219,120.0,0.2915,0.7373
Pink_10X_1.TIF,Aspergillus,10,629.0,28.2996,161.0,0.3049,0.7056
Pink_10X_1.TIF,Aspergillus,10,59.0,8.6672,23.0,1.4015,1.2292
Pink_10X_1.TIF,Aspergillus,10,135.0,13.1106,55.0,0.5608,0.9278
Pink_10X_1.TIF,Aspergillus,10,63.0,8.9562,26.0,1.1711,1.2115
Pink_10X_1.TIF,Aspergillus,10,278.0,18.8138,62.0,0.9088,1.0239
Pink_10X_1.TIF,Aspergillus,10,53.0,8.2147,25.0,1.0656,1.2184
Pink_10X_1.TIF,Aspergillus,10,476.0,24.6183,87.0,0.7903,0.9865
Pink_10X_1.TIF,Aspergillus,10,85.0,10.4031,37.0,0.7802,0.929
Pink_10X_1.TIF,Aspergillus,10,12060.0,123.9164,898.0,0.1879,0.5855
