sample,cx_svg,cy_svg,rx_svg,ry_svg,r_eq_svg,rx_mm,ry_mm,r_eq_mm,area_mm2,dist_svg,dist_mm,aspect,mm_per_svg,dist_norm,zone
RSR1,247.5036,87.0822,3.9266,3.3566,3.6305,0.0617,0.05274,0.05705,0.010224,56.6942,0.89087,1.1698,0.0157136,0.20632880316463323,Mid
RSR1,228.6938,87.5256,3.4833,3.42,3.4515,0.05474,0.05374,0.05424,0.0092408,70.4434,1.10692,1.0185,0.0157136,0.2563667861741845,Mid
RSR1,237.307,90.6289,2.2166,2.47,2.3399,0.03483,0.03881,0.03677,0.0042471,61.9481,0.97343,0.8974,0.0157136,0.22545000602169665,Mid
RSR1,278.7899,77.7724,1.7733,1.9,1.8356,0.02787,0.02986,0.02884,0.0026136,39.5279,0.62113,0.9333,0.0157136,0.14385601660135441,Near
RSR1,299.1196,69.9825,1.9633,2.09,2.0257,0.03085,0.03284,0.03183,0.003183,29.531,0.46404,0.9394,0.0157136,0.1074733887329424,Near
RSR1,204.8174,57.3159,2.7866,2.85,2.8181,0.04379,0.04478,0.04428,0.0061606,108.3668,1.70283,0.9778,0.0157136,0.39438175703843703,Mid
RSR1,216.6606,65.2325,1.5833,1.52,1.5513,0.02488,0.02388,0.02438,0.0018668,94.2579,1.48113,1.0417,0.0157136,0.34303521302909873,Mid
RSR1,212.2907,69.5391,1.7733,1.7733,1.7733,0.02787,0.02787,0.02787,0.0024393,94.6557,1.48738,1.0,0.0157136,0.3444827362589515,Mid
RSR1,220.3339,69.9825,2.09,1.8366,1.9592,0.03284,0.02886,0.03079,0.0029776,88.3554,1.38838,1.1379,0.0157136,0.32155396829808325,Mid
RSR1,225.2105,72.9591,1.6466,1.52,1.582,0.02587,0.02388,0.02486,0.0019415,82.7342,1.30005,1.0833,0.0157136,0.3010964119952197,Mid
RSR1,224.1972,77.9624,2.0266,1.9633,1.9947,0.03185,0.03085,0.03134,0.0030865,80.1625,1.25964,1.0323,0.0157136,0.2917373058002835,Mid
RSR1,263.9067,107.3487,2.09,1.71,1.8905,0.03284,0.02687,0.02971,0.0027723,30.9652,0.48657,1.2222,0.0157136,0.11269142047191574,Near
RSR1,265.9967,112.5419,1.52,1.4566,1.488,0.02388,0.02289,0.02338,0.0017175,25.95,0.40777,1.0435,0.0157136,0.09444104758993174,Near
RSR1,269.0367,115.1386,1.52,1.6466,1.582,0.02388,0.02587,0.02486,0.0019415,21.9529,0.34496,0.9231,0.0157136,0.0798940181392031,Near
RSR1,283.0331,99.7488,2.09,1.9633,2.0257,0.03284,0.03085,0.03183,0.003183,21.7403,0.34162,1.0645,0.0157136,0.07912046172516977,Near
RSR1,290.823,101.7754,1.6466,1.4566,1.5487,0.02587,0.02289,0.02434,0.0018606,14.5759,0.22904,1.1304,0.0157136,0.05304651529047739,Near
RSR1,289.303,89.2989,1.52,1.52,1.52,0.02388,0.02388,0.02388,0.0017922,24.0106,0.37729,1.0,0.0157136,0.08738176630258564,Near
RSR1,294.1797,88.9822,1.4566,1.33,1.3919,0.02289,0.0209,0.02187,0.0015028,20.5801,0.32339,1.0952,0.0157136,0.07489832596833515,Near
RSR1,228.3138,107.792,1.5833,1.52,1.5513,0.02488,0.02388,0.02438,0.0018668,57.2453,0.89953,1.0417,0.0157136,0.20833449135191726,Mid
RSR1,209.2507,106.9687,1.52,1.4566,1.488,0.02388,0.02289,0.02338,0.0017175,72.0263,1.13179,1.0435,0.0157136,0.2621267706104148,Mid
RSR1,224.8939,101.5221,1.4566,1.33,1.3919,0.02289,0.0209,0.02187,0.0015028,63.9697,1.00519,1.0952,0.0157136,0.2328057400665166,Mid
RSR1,231.6071,97.9754,1.5833,1.33,1.4511,0.02488,0.0209,0.0228,0.0016335,61.3167,0.96351,1.1905,0.0157136,0.2231524971512743,Mid
RSR1,221.0306,96.5188,2.1533,1.9,2.0227,0.03384,0.02986,0.03178,0.0031736,70.1825,1.10282,1.1333,0.0157136,0.2554172109354011,Mid
RSR1,185.5643,91.8322,3.04,3.1666,3.1026,0.04777,0.04976,0.04875,0.0074673,99.7807,1.56791,0.96,0.0157136,0.36313378357095877,Mid
RSR1,178.4078,96.0755,2.7233,2.2166,2.4569,0.04279,0.03483,0.03861,0.0046826,102.3013,1.60752,1.2286,0.0157136,0.3723076067924739,Mid
RSR1,182.7144,98.7988,1.71,1.6466,1.678,0.02687,0.02587,0.02637,0.0021842,97.2742,1.52853,1.0385,0.0157136,0.3540132292043023,Mid
RSR1,191.2643,98.7988,2.66,2.4066,2.5301,0.0418,0.03782,0.03976,0.0049658,90.8905,1.42822,1.1053,0.0157136,0.3307810603744569,Mid
RSR1,193.9242,22.9897,3.1666,2.9766,3.0702,0.04976,0.04677,0.04824,0.0073118,139.3349,2.18945,1.0638,0.0157136,0.5070847576961915,Mid
RSR1,202.6641,25.9663,2.4066,2.28,2.3424,0.03782,0.03583,0.03681,0.0042564,130.8292,2.0558,1.0556,0.0157136,0.47613092094901943,Mid
RSR1,197.3442,30.463,2.9133,2.85,2.8815,0.04578,0.04478,0.04528,0.0064406,131.81,2.07121,1.0222,0.0157136,0.47969993422454454,Mid
RSR1,200.8275,38.6962,2.09,2.3433,2.213,0.03284,0.03682,0.03477,0.003799,123.7323,1.94428,0.8919,0.0157136,0.4503024744541101,Mid
RSR1,200.3842,45.0928,2.0266,1.9,1.9623,0.03185,0.02986,0.03083,0.0029869,119.8081,1.88262,1.0667,0.0157136,0.4360217892776744,Mid
RSR1,181.8911,48.8294,2.28,2.47,2.3731,0.03583,0.03881,0.03729,0.0043684,131.13,2.06052,0.9231,0.0157136,0.47722409049220427,Mid
RSR1,172.7079,64.0292,4.4966,3.99,4.2357,0.07066,0.0627,0.06656,0.0139173,127.8752,2.00938,1.127,0.0157136,0.46537987641625683,Mid
RSR1,183.8544,66.2458,3.3566,3.42,3.3881,0.05274,0.05374,0.05324,0.0089048,118.0782,1.85543,0.9815,0.0157136,0.4297244842185228,Mid
RSR1,180.4978,57.126,3.42,3.42,3.42,0.05374,0.05374,0.05374,0.0090728,126.6512,1.99015,1.0,0.0157136,0.4609261369426457,Mid
RSR1,173.2779,53.7693,3.04,3.1033,3.0715,0.04777,0.04876,0.04826,0.007318,134.2748,2.10994,0.9796,0.0157136,0.48866994617529624,Mid
RSR1,166.3746,56.366,3.23,3.5466,3.3846,0.05075,0.05573,0.05318,0.0088861,137.7017,2.16379,0.9107,0.0157136,0.501141806323708,Mid
RSR1,160.8647,48.5761,2.9133,2.7233,2.8167,0.04578,0.04279,0.04426,0.0061543,146.9977,2.30986,1.0698,0.0157136,0.5349721612332435,Mid
RSR1,246.4269,61.8759,1.9633,2.2166,2.0861,0.03085,0.03483,0.03278,0.0033759,74.2661,1.16699,0.8857,0.0157136,0.2702792214409457,Mid
RSR1,266.5033,57.7593,2.7866,2.5333,2.6569,0.04379,0.03981,0.04175,0.0054761,62.0148,0.97448,1.1,0.0157136,0.22569318992431192,Mid
RSR1,253.7735,82.839,2.09,1.9,1.9927,0.03284,0.02986,0.03131,0.0030803,54.8356,0.86167,1.1,0.0157136,0.19956597463476097,Near
RSR1,237.1804,75.4924,1.9633,1.9,1.9314,0.03085,0.02986,0.03035,0.0028936,72.1119,1.13314,1.0333,0.0157136,0.262439435628063,Mid
RSR1,232.2404,77.519,3.3566,3.8,3.5714,0.05274,0.05971,0.05612,0.0098942,74.452,1.16991,0.8833,0.0157136,0.27095550429393295,Mid
RSR1,229.6438,59.4059,2.0266,1.7733,1.8957,0.03185,0.02787,0.02979,0.0027878,88.4401,1.38971,1.1429,0.0157136,0.32186200124139597,Mid
RSR1,293.3564,35.9096,2.4066,2.09,2.2427,0.03782,0.03284,0.03524,0.0039017,56.5004,0.88782,1.1515,0.0157136,0.20562241182846505,Mid
RSR1,297.7896,78.7857,2.28,2.28,2.28,0.03583,0.03583,0.03583,0.0040324,24.6679,0.38762,1.0,0.0157136,0.08977423269688634,Near
RSR1,282.8431,80.1157,1.6466,1.5833,1.6147,0.02587,0.02488,0.02537,0.0020224,34.9427,0.54908,1.04,0.0157136,0.12716896880761144,Near
RSR1,292.153,74.2257,1.4566,1.52,1.488,0.02289,0.02388,0.02338,0.0017175,31.9098,0.50142,0.9583,0.0157136,0.11613073566604598,Near
RSR1,269.48,71.0591,2.09,2.0266,2.0581,0.03284,0.03185,0.03234,0.0032856,50.9449,0.80053,1.0312,0.0157136,0.185405723391049,Near
RSR1,256.3702,72.5791,2.1533,1.9,2.0227,0.03384,0.02986,0.03178,0.0031736,59.722,0.93845,1.1333,0.0157136,0.21734850800885655,Mid
RSR1,243.6403,77.139,2.5966,2.5333,2.5648,0.0408,0.03981,0.0403,0.0051027,66.1932,1.04013,1.025,0.0157136,0.24089797393068565,Mid
RSR1,238.9537,62.6992,3.23,3.04,3.1335,0.05075,0.04777,0.04924,0.0076167,79.2982,1.24606,1.0625,0.0157136,0.28859212732645934,Mid
RSR1,233.6337,69.8558,3.23,2.7233,2.9658,0.05075,0.04279,0.0466,0.0068233,78.5095,1.23367,1.186,0.0157136,0.2857225572755992,Mid
RSR1,257.5101,34.1362,2.5333,2.47,2.5014,0.03981,0.03881,0.03931,0.0048538,84.4442,1.32692,1.0256,0.0157136,0.3073196038650029,Mid
RSR1,225.7172,38.7595,2.4066,2.4066,2.4066,0.03782,0.03782,0.03782,0.0044929,105.1065,1.6516,1.0,0.0157136,0.3825166986279796,Mid
RSR1,238.7637,36.1629,2.0266,1.9633,1.9947,0.03185,0.03085,0.03134,0.0030865,97.0928,1.52568,1.0323,0.0157136,0.3533531586114894,Mid
RSR1,246.8069,31.9196,2.3433,2.28,2.3114,0.03682,0.03583,0.03632,0.0041444,93.9102,1.47567,1.0278,0.0157136,0.34177065673549933,Mid
RSR1,251.3035,15.5798,2.0266,2.0266,2.0266,0.03185,0.03185,0.03185,0.0031861,101.4226,1.59371,1.0,0.0157136,0.3691091594637911,Mid
RSR1,251.6835,1.7733,4.9399,4.8133,4.8762,0.07762,0.07563,0.07662,0.0184443,110.3234,1.73358,1.0263,0.0157136,0.4015035713293127,Mid
RSR1,255.0402,-7.0932,3.1033,3.8,3.434,0.04876,0.05971,0.05396,0.0091475,113.7155,1.78688,0.8167,0.0157136,0.41384804943349734,Mid
RSR1,222.7406,25.9663,5.0033,4.8133,4.9074,0.07862,0.07563,0.07711,0.0186808,115.8394,1.82025,1.0395,0.0157136,0.42157666546232736,Mid
RSR1,217.1673,9.6899,3.99,3.8633,3.9261,0.0627,0.06071,0.06169,0.0119571,130.8282,2.05578,1.0328,0.0157136,0.4761262888746839,Mid
RSR1,196.2676,9.6899,4.3699,3.4833,3.9015,0.06867,0.05474,0.06131,0.0118077,146.4327,2.30099,1.2545,0.0157136,0.5329178362654364,Mid
RSR1,184.9943,17.7964,3.7366,3.7366,3.7366,0.05872,0.05872,0.05872,0.0108308,149.457,2.34851,1.0,0.0157136,0.5439236448866532,Mid
RSR1,193.3543,-35.2762,5.3833,4.7499,5.0567,0.08459,0.07464,0.07946,0.0198351,178.5207,2.8052,1.1333,0.0157136,0.6496947463012888,Far
RSR1,203.0441,-34.0096,3.2933,3.3566,3.3248,0.05175,0.05274,0.05224,0.008575,170.4433,2.67828,0.9811,0.0157136,0.6202996025680221,Far
RSR1,207.7307,-20.8997,4.5599,3.5466,4.0215,0.07165,0.05573,0.06319,0.0125451,158.223,2.48625,1.2857,0.0157136,0.575824740835441,Mid
RSR1,215.1406,-22.673,3.1033,3.04,3.0715,0.04876,0.04777,0.04826,0.007318,153.8701,2.41785,1.0208,0.0157136,0.5599830466079321,Mid
RSR1,193.6076,-13.0465,4.2433,4.3066,4.2748,0.06668,0.06767,0.06717,0.0141755,163.5437,2.56986,0.9853,0.0157136,0.5951891275951197,Mid
