Near (µm),Mid (µm),Far (µm),n,R²,ρ,p
0–700,900–1100,1500–2500,35,0.928,0.852,0.0
0–700,900–1100,1700–2300,35,0.928,0.851,0.0
0–700,800–1200,1700–2300,35,0.927,0.852,0.0
0–700,800–1200,1500–2500,35,0.926,0.844,0.0
0–1000,750–1250,1700–2300,35,0.924,0.832,0.0
0–1000,750–1250,1500–2500,35,0.923,0.812,0.0
0–1000,800–1200,1700–2300,35,0.923,0.832,0.0
0–1000,800–1200,1500–2500,35,0.923,0.811,0.0
0–700,900–1100,1900–2100,35,0.922,0.851,0.0
0–700,800–1200,1900–2100,35,0.922,0.846,0.0
0–700,750–1250,1500–2500,35,0.92,0.835,0.0
0–700,750–1250,1700–2300,35,0.92,0.851,0.0
0–1000,750–1250,1900–2100,35,0.919,0.827,0.0
0–1000,900–1100,1500–2500,35,0.918,0.82,0.0
0–1000,900–1100,1700–2300,35,0.918,0.832,0.0
0–1000,800–1200,1900–2100,35,0.917,0.829,0.0
0–700,750–1250,1900–2100,35,0.917,0.852,0.0
0–500,900–1100,1700–2300,35,0.912,0.861,0.0
0–1000,900–1100,1900–2100,35,0.911,0.825,0.0
0–500,900–1100,1500–2500,35,0.911,0.856,0.0
0–500,800–1200,1700–2300,35,0.907,0.858,0.0
0–500,800–1200,1500–2500,35,0.905,0.847,0.0
0–500,900–1100,1900–2100,35,0.905,0.864,0.0
0–500,800–1200,1900–2100,35,0.901,0.854,0.0
0–500,750–1250,1700–2300,35,0.895,0.86,0.0
0–500,750–1250,1500–2500,35,0.893,0.856,0.0
0–500,750–1250,1900–2100,35,0.89,0.855,0.0
0–300,900–1100,1700–2300,35,0.86,0.861,0.0
0–300,900–1100,1500–2500,35,0.86,0.858,0.0
0–300,900–1100,1900–2100,35,0.854,0.864,0.0
0–300,800–1200,1700–2300,35,0.85,0.855,0.0
0–300,800–1200,1500–2500,35,0.849,0.855,0.0
0–300,800–1200,1900–2100,35,0.845,0.855,0.0
0–300,750–1250,1700–2300,35,0.831,0.863,0.0
0–300,750–1250,1500–2500,35,0.83,0.857,0.0
0–300,750–1250,1900–2100,35,0.827,0.859,0.0
