metric,asp_mean,asp_std,muc_mean,muc_std,n_asp,n_muc,welch_t,welch_p,mw_U,mw_p,cohens_d,direction,prep_independent,bh_welch_p,bh_mw_p,sig_bh_005
network_fiber_area_px,1108330.6667,25702.3996,820797.0,51862.0359,6,3,9.0625,0.0056010875227681155,18.0,0.023809523809523808,8.1643,Asp>Muc,False,0.04667572935640096,0.1984126984126984,True
network_fiber_area_fraction,0.2742,0.0071,0.2032,0.0131,6,3,8.7873,0.005236485439813592,18.0,0.023809523809523808,7.7168,Asp>Muc,True,0.04667572935640096,0.1984126984126984,True
local_density_p90_minus_p10,0.8742,0.0989,0.3524,0.0179,6,3,12.5218,2.564868432425567e-05,18.0,0.023809523809523808,6.2037,Asp>Muc,True,0.0012824342162127836,0.1984126984126984,True
local_density_std,0.3217,0.0455,0.1421,0.0116,6,3,9.1002,8.795800171215062e-05,18.0,0.023809523809523808,4.6128,Asp>Muc,True,0.0021989500428037656,0.1984126984126984,True
local_density_cv,0.6867,0.1097,0.3921,0.0336,6,3,6.0372,0.0007005976318783408,18.0,0.023809523809523808,3.1199,Asp>Muc,True,0.011676627197972347,0.1984126984126984,True
background_mean_intensity,0.7738,0.0497,0.5961,0.1033,6,3,2.819,0.08337731978671017,17.0,0.047619047619047616,2.5604,Asp>Muc,False,0.21941399943871098,0.23809523809523808,False
foreground_darkness_contrast,0.4366,0.093,0.229,0.0519,6,3,4.2915,0.004008261260136749,18.0,0.023809523809523808,2.4901,Asp>Muc,True,0.04667572935640096,0.1984126984126984,True
component_compactness_weighted_mean,0.0417,0.0119,0.0671,0.0164,6,3,-2.3886,0.09394084630344224,1.0,0.047619047619047616,-1.9055,Asp<Muc,True,0.2348521157586056,0.23809523809523808,False
component_solidity_weighted_mean,0.5726,0.0891,0.43,0.0518,6,3,3.0271,0.02077089671831656,17.0,0.047619047619047616,1.7761,Asp>Muc,True,0.1355890384599113,0.23809523809523808,False
largest_component_fraction_of_foreground,0.7933,0.2242,0.4913,0.0787,6,3,2.9551,0.022186446228621533,16.0,0.09523809523809523,1.5557,Asp>Muc,True,0.1355890384599113,0.3968253968253968,False
component_extent_weighted_mean,0.4571,0.1194,0.3047,0.0346,6,3,2.8921,0.025815912793310723,16.0,0.09523809523809523,1.4849,Asp>Muc,True,0.1355890384599113,0.3968253968253968,False
largest_component_area_px,1573763.0,695116.6601,717423.3333,119627.6578,6,3,2.932,0.028670169484600327,17.0,0.047619047619047616,1.4491,Asp>Muc,False,0.1355890384599113,0.23809523809523808,False
component_area_median_px,102.4167,38.57,54.6667,12.3423,6,3,2.7628,0.029829588461180487,15.0,0.16666666666666666,1.4357,Asp>Muc,False,0.1355890384599113,0.4385964912280701,False
network_fiber_component_count,621.1667,451.5278,1205.6667,277.2802,6,3,-2.3941,0.05144500632129368,3.0,0.16666666666666666,-1.4278,Asp<Muc,False,0.17148335440431228,0.4385964912280701,False
foreground_area_px,1930060.8333,433678.5163,1459434.0,16879.7136,6,3,2.6542,0.04492870146573687,15.0,0.16666666666666666,1.2836,Asp>Muc,False,0.16716415879028415,0.4385964912280701,False
area_fraction,0.4778,0.1087,0.3612,0.0026,6,3,2.6245,0.046738119611900525,15.0,0.16666666666666666,1.2683,Asp>Muc,True,0.16716415879028415,0.4385964912280701,False
local_density_mean,0.4801,0.1097,0.3625,0.0017,6,3,2.6244,0.04680596446127956,13.0,0.38095238095238093,1.2679,Asp>Muc,True,0.16716415879028415,0.6144393241167435,False
foreground_component_count,469.1667,462.6746,931.0,86.4349,6,3,-2.3639,0.05855727491962433,3.0,0.16666666666666666,-1.1729,Asp<Muc,False,0.17222727917536565,0.4385964912280701,False
component_count,469.1667,462.6746,931.0,86.4349,6,3,-2.3639,0.05855727491962433,3.0,0.16666666666666666,-1.1729,Asp<Muc,False,0.17222727917536565,0.4385964912280701,False
component_area_p90_px,716.3333,541.8959,1395.7333,709.3914,6,3,-1.4595,0.23435011680053694,4.0,0.26190476190476186,-1.1426,Asp<Muc,False,0.42194497532284725,0.5238095238095237,False
local_density_patch_count,63.8333,0.4082,63.3333,0.5774,6,3,1.3416,0.27089177285392446,13.5,0.2087251311753222,1.0801,Asp>Muc,False,0.46705478078262835,0.5218128279383055,False
component_area_mean_px,8795.9264,8139.8764,1577.3289,157.529,6,3,2.1714,0.08191213581907349,15.0,0.16666666666666666,1.0492,Asp>Muc,False,0.21941399943871098,0.4385964912280701,False
pore_radius_median_um,8.5947,4.8439,4.2159,2.8444,6,3,1.7035,0.13539731476078412,14.0,0.26190476190476186,1.0027,Asp>Muc,False,0.2943419886104003,0.5238095238095237,False
pore_diameter_median_um,17.1893,9.6878,8.4317,5.6888,6,3,1.7035,0.13539731476078407,14.0,0.26190476190476186,1.0027,Asp>Muc,False,0.2943419886104003,0.5238095238095237,False
fft_dominant_spacing_px,241.0792,104.8229,157.651,34.7521,6,3,1.7652,0.12321505630535998,13.5,0.29967715920559657,0.9217,Asp>Muc,False,0.2933691816794285,0.5549577022325862,False
pore_diameter_p90_um,41.7935,25.2708,21.4355,13.4315,6,3,1.5774,0.15990016115136507,14.0,0.26190476190476186,0.9035,Asp>Muc,False,0.3075003099064715,0.5238095238095237,False
pore_radius_p90_um,20.8967,12.6354,10.7177,6.7158,6,3,1.5774,0.15990016115136516,14.0,0.26190476190476186,0.9035,Asp>Muc,False,0.3075003099064715,0.5238095238095237,False
branchpoint_to_endpoint_ratio,515.7274,370.4622,254.271,69.9582,6,3,1.6702,0.1488222888546474,13.0,0.38095238095238093,0.8292,Asp>Muc,True,0.3075003099064715,0.6144393241167435,False
fft_peak_frequency_cycles_per_px,0.0049,0.0023,0.0066,0.0014,6,3,-1.3118,0.23628918618079447,4.5,0.29967715920559657,-0.7927,Asp<Muc,False,0.42194497532284725,0.5549577022325862,False
laplacian_variance,0.001,0.0008,0.002,0.0023,6,3,-0.735,0.5321690974659933,7.0,0.7142857142857142,-0.7233,Asp<Muc,False,0.7602415678085618,0.7936507936507935,False
fft_dominant_spacing_um,100.7166,57.4704,66.6176,43.529,6,3,0.9918,0.3638398371335674,12.0,0.5476190476190476,0.6331,Asp>Muc,False,0.5512724805054052,0.7205513784461153,False
pore_radius_max_um,60.8578,49.3059,33.6693,23.8139,6,3,1.1154,0.3017009882443817,13.0,0.38095238095238093,0.624,Asp>Muc,False,0.49367909748240824,0.6144393241167435,False
fft_anisotropy,0.1041,0.0609,0.0716,0.0271,6,3,1.104,0.3060810404390931,12.0,0.5476190476190476,0.6063,Asp>Muc,True,0.49367909748240824,0.7205513784461153,False
largest_component_area_um2,376914.3458,435953.02,161259.3912,160842.2886,6,3,1.0743,0.3191952068023171,12.0,0.5476190476190476,0.57,Asp>Muc,False,0.49874251062862046,0.7205513784461153,False
cluster_centroid_nn_p90_um,35.6374,22.4882,24.6129,16.4954,6,3,0.8334,0.439099349578589,12.0,0.5476190476190476,0.5262,Asp>Muc,False,0.6457343376155721,0.7205513784461153,False
skeleton_branchpoints,134871.8333,23426.892,125852.3333,28965.5713,6,3,0.4682,0.6682348066249665,11.0,0.7142857142857142,0.3589,Asp>Muc,False,0.7916755841298332,0.7936507936507935,False
cluster_centroid_nn_median_um,16.1148,11.1302,12.3801,9.028,6,3,0.5401,0.6121580412412216,11.0,0.7142857142857142,0.3533,Asp>Muc,False,0.7916755841298332,0.7936507936507935,False
network_fiber_component_count_per_mm2,2699.6514,3952.2253,4192.9798,5065.324,6,3,-0.4471,0.6826871251400571,6.0,0.5476190476190476,-0.3473,Asp<Muc,False,0.7916755841298332,0.7205513784461153,False
raw_p01_to_p99_contrast,40173.3333,15676.2915,34373.3333,20207.8184,6,3,0.4359,0.6901543077037217,10.0,0.9047619047619047,0.3393,Asp>Muc,False,0.7916755841298332,0.9047619047619047,False
foreground_mean_intensity,0.3372,0.0821,0.3671,0.1226,6,3,-0.3824,0.7281821354569311,8.0,0.9047619047619047,-0.3138,Asp<Muc,False,0.7916755841298332,0.9047619047619047,False
network_fiber_area_um2,268783.9862,267262.5798,193879.068,212714.9619,6,3,0.456,0.6670852046562484,12.0,0.5476190476190476,0.2962,Asp>Muc,False,0.7916755841298332,0.7205513784461153,False
foreground_area_um2,508747.2014,541073.6583,360884.4349,406448.8231,6,3,0.4588,0.6642052055832811,11.0,0.7142857142857142,0.2921,Asp>Muc,False,0.7916755841298332,0.7936507936507935,False
skeleton_length_px,71220.3333,15179.7998,66747.3333,16343.8112,6,3,0.3962,0.7131043135370296,11.0,0.7142857142857142,0.2882,Asp>Muc,False,0.7916755841298332,0.7936507936507935,False
skeleton_length_density_px_per_px2,0.0176,0.0037,0.0165,0.0041,6,3,0.3915,0.7168217326964309,11.0,0.7142857142857142,0.2877,Asp>Muc,False,0.7916755841298332,0.7936507936507935,False
component_count_per_mm2,2036.3524,3605.5835,3008.4485,3526.1916,6,3,-0.3869,0.7176929062712768,5.0,0.38095238095238093,-0.2713,Asp<Muc,False,0.7916755841298332,0.6144393241167435,False
skeleton_length_um,29354.6779,15014.4993,26194.7513,10948.5296,6,3,0.3589,0.7329131963484438,10.0,0.9047619047619047,0.2261,Asp>Muc,False,0.7916755841298332,0.9047619047619047,False
