file,genus,n_components,tissue_frac,gap_frac,total_perim_um,perim_density_um_per_1000um2,mean_gap_um,median_gap_um,mean_area_um2,median_area_um2,largest_component_frac,lacunarity_mean,lacunarity_max_scale,fractal_dim
20251214_221838.JPG,Aspergillus,44,0.5552,0.4448,77363.0,16.1714,68.8,42.0,60351.2,669.3,0.8796,1.5365,1.1682,1.8389
20251214_221853.JPG,Aspergillus,35,0.5411,0.4589,59130.0,15.8742,69.8,43.4,57566.4,1547.1,0.4247,1.5807,1.1957,1.8426
20251214_221920.JPG,Aspergillus,70,0.491,0.509,79594.5,19.1748,50.1,37.6,29113.0,855.7,0.3467,1.7411,1.317,1.8139
20251214_221942.JPG,Aspergillus,45,0.4502,0.5498,41184.7,17.3481,52.2,43.9,23749.3,1280.3,0.3821,1.8862,1.4044,1.7756
20251214_222017.JPG,Aspergillus,69,0.467,0.533,76917.4,19.5139,47.4,38.8,26672.5,4335.7,0.27,1.8029,1.3194,1.8085
20251214_222031.JPG,Aspergillus,28,0.4501,0.5499,26441.0,18.2686,50.9,41.4,23255.1,2339.7,0.3922,1.8579,1.3378,1.779
20251214_222052.JPG,Aspergillus,26,0.5393,0.4607,38969.1,17.4407,52.4,39.9,46345.5,1228.2,0.5814,1.5523,1.1306,1.8014
20251214_222121.JPG,Aspergillus,55,0.42,0.58,42905.8,14.7686,77.6,58.4,22177.3,1242.3,0.4369,2.0761,1.6514,1.7701
20251214_222146.JPG,Aspergillus,52,0.4393,0.5607,57170.1,18.4585,66.6,45.1,26156.5,1871.4,0.283,1.9337,1.4607,1.8033
20251214_222205.JPG,Aspergillus,75,0.4992,0.5008,63169.1,17.0351,55.5,43.7,24678.4,1238.8,0.4754,1.7729,1.4618,1.8146
20251214_222452.JPG,Aspergillus,49,0.5464,0.4536,81396.5,16.6251,61.6,41.4,54585.6,1070.9,0.7965,1.5552,1.1692,1.8403
20251214_222530.JPG,Aspergillus,51,0.5118,0.4882,64180.6,16.814,57.2,44.7,38304.5,1966.8,0.7907,1.6374,1.1873,1.8193
20251214_222552.JPG,Aspergillus,36,0.4969,0.5031,50105.2,16.794,61.9,43.9,41178.2,1528.2,0.4663,1.663,1.1681,1.8332
20251210_155519.JPG,Mucor,30,0.4205,0.5795,18320.4,23.5555,55.8,39.5,10867.2,1090.3,0.5868,2.0623,1.7601,1.7656
20251210_155530.JPG,Mucor,21,0.4602,0.5398,21350.0,20.53,100.0,48.9,22756.2,911.0,0.5633,1.9382,1.701,1.812
20251210_155700.JPG,Mucor,27,0.2382,0.7618,10577.7,10.1918,157.5,123.7,9138.5,689.2,0.6821,3.8393,3.5051,1.745
20251210_155743.JPG,Mucor,18,0.3386,0.6614,12704.9,15.0156,94.9,78.5,15900.2,470.9,0.4975,2.511,1.9625,1.7035
20251210_155748.JPG,Mucor,52,0.3733,0.6267,33947.7,23.141,58.9,41.7,10504.7,394.5,0.2762,2.2883,1.8858,1.7526
20251210_155753.JPG,Mucor,32,0.2678,0.7322,11580.7,22.6055,69.6,49.7,4265.3,526.6,0.4301,2.9332,2.118,1.686
20251210_155801.JPG,Mucor,13,0.3146,0.6854,14184.4,16.8291,109.1,76.7,20356.4,1751.3,0.7624,2.7869,2.3903,1.7634
20251210_155811.JPG,Mucor,14,0.4354,0.5646,13266.1,19.2993,80.0,60.2,21352.4,608.8,0.8124,2.0626,1.8395,1.7826
20251210_155819.JPG,Mucor,40,0.3449,0.6551,24290.3,21.3718,70.2,43.9,9750.0,638.4,0.3089,2.2927,1.577,1.7345
20251210_155850.JPG,Mucor,11,0.507,0.493,10918.0,20.2539,90.5,63.9,24799.7,276.6,0.9829,1.7815,1.6191,1.8659
20251210_155926.JPG,Mucor,19,0.3703,0.6297,17859.8,10.6891,326.4,182.0,32531.2,367.6,0.8816,2.4382,2.0942,1.8446
