frequency,20251214_221838.JPG_T1,20251214_221838.JPG_T2,20251214_221838.JPG_T3,20251214_221838.JPG_T4,20251214_221838.JPG_T5,20251214_221853.JPG_T6,20251214_221853.JPG_T7,20251214_221853.JPG_T8,20251214_221853.JPG_T9,20251214_221853.JPG_T10,20251214_221853.JPG_T11,20251214_221920.JPG_T12,20251214_221920.JPG_T13,20251214_221920.JPG_T14,20251214_221920.JPG_T15,20251214_221942.JPG_T16,20251214_221942.JPG_T17,20251214_221942.JPG_T18,20251214_221942.JPG_T19,20251214_221942.JPG_T20,20251214_221942.JPG_T21,20251214_222017.JPG_T22,20251214_222017.JPG_T23,20251214_222017.JPG_T24,20251214_222017.JPG_T25,20251214_222031.JPG_T26,20251214_222031.JPG_T27,20251214_222031.JPG_T28,20251214_222031.JPG_T29,20251214_222052.JPG_T30,20251214_222052.JPG_T31,20251214_222052.JPG_T32,20251214_222052.JPG_T33,20251214_222121.JPG_T34,20251214_222121.JPG_T35,20251214_222121.JPG_T36,20251214_222121.JPG_T37,20251214_222121.JPG_T38,20251214_222121.JPG_T39,20251214_222146.JPG_T40,20251214_222146.JPG_T41,20251214_222146.JPG_T42,20251214_222146.JPG_T43,20251214_222146.JPG_T44,20251214_222146.JPG_T45,20251214_222146.JPG_T46,20251214_222205.JPG_T47,20251214_222205.JPG_T48,20251214_222205.JPG_T49,20251214_222205.JPG_T50,20251214_222205.JPG_T51,20251214_222313.JPG_T52,20251214_222313.JPG_T53,20251214_222313.JPG_T54,20251214_222452.JPG_T55,20251214_222452.JPG_T56,20251214_222452.JPG_T57,20251214_222452.JPG_T58,20251214_222530.JPG_T59,20251214_222530.JPG_T60,20251214_222530.JPG_T61,20251214_222530.JPG_T62,20251214_222530.JPG_T63,20251214_222530.JPG_T64,20251214_222552.JPG_T65,20251214_222552.JPG_T66,20251214_222552.JPG_T67,20251214_222552.JPG_T68,20251214_222552.JPG_T69,20251214_222552.JPG_T70
0.00037211,1983194.7463,27483487.8555,181346656.2201,76700586.6086,24854280.7333,42952589.5116,22781760.5901,6798504.9440,133111911.2260,14930602.0534,75933056.0396,139280.8764,59707232.3725,58124516.6100,127886346.1207,81304535.6455,54462352.6629,60186049.7700,25866713.9101,2307787.5089,37486003.2659,95179759.4488,160703927.9976,247801792.3530,42519542.5548,421520356.4364,31670480.1892,92321151.6525,26948815.6281,712283936.7869,219018720.2370,8569867.6873,11396521.3954,56873215.4129,30978699.2572,50869311.5220,4203799.7469,63102539.0293,33753737.4977,134723527.7193,860547.9373,35456824.1396,15950650.9187,4198983.0980,78730839.6074,48275798.8753,6217179.0200,17789448.3161,36240103.4947,18626845.6082,20476099.7688,15851299.2412,16671480.3617,3495935.4767,61998861.9616,110662420.4768,6823677.3246,43142898.6915,24192307.5033,97824546.3811,36581347.6539,7996303.7204,1844069.6741,17904549.4945,206316748.6449,5319925.2336,6110062.2366,74044433.0277,31305253.1539,117345046.7014
0.00074421,19040311.7920,20392281.3984,136846712.5129,23063975.4032,18015422.5107,11070081.9584,79997024.6078,92741603.7493,153116527.9069,9486696.1483,65684493.9840,38568466.5780,71120782.8950,11979797.0434,130261047.3923,74056426.1179,31458968.4241,148858734.9502,16096867.1779,2523336.0795,959559.0900,141608368.7311,197147827.4355,460215788.0039,527175.2099,398424492.1008,10656196.2707,26778898.7954,3525746.3438,1179747317.8710,453936927.4813,2420689.0197,58251180.8151,47685455.6257,416348.4739,7902814.1762,28233816.4928,213099483.6248,1824392.1543,3606592.7568,51832060.6210,39798346.8605,30803944.4627,14005699.8624,43412194.7510,8977337.1879,2012758.7968,21647007.1475,82835411.6812,21416076.7715,2725005.1752,15268035.6363,13028964.6972,12555526.0203,5645097.3372,200895609.2830,12960366.7270,35962957.8665,9166490.6996,42779899.9247,6838470.6753,2443453.8966,4795597.0961,9843922.1426,12581381.3673,27346239.0866,42867112.4596,5217348.8984,27760401.2847,17881133.3787
0.00111632,2181785.1247,198102.7219,33875193.9500,7502448.3505,1655863.4128,2261601.9559,51823368.1544,82780836.0066,10754834.1890,4271020.4701,21652376.7653,88643523.7000,60017933.0790,26992312.2958,50274560.4477,94672893.0746,12340858.0943,88834991.4294,1279816.8349,6870286.9327,23088246.3599,296552060.5476,102913013.7635,139004179.3941,14147414.7264,91525818.0481,18051160.0754,2377073.5028,24206116.0099,354107787.7297,236635011.4427,22790949.6913,25238453.8303,21048495.5126,12653628.4526,4770284.3459,7208462.1977,47547390.5965,3935705.0261,146620166.4626,93176696.6380,28886928.1566,36018891.3654,30398907.7553,2052658.8521,15853947.9109,9036866.9417,42284878.3884,2133483.1963,31654561.5939,308369.8734,1475007.1635,26820823.5678,6743266.2237,61707384.7553,66451802.3000,11618370.5677,5306330.2128,12308536.0700,74054779.6655,29819111.5069,1876119.1426,7055899.1106,9357246.9020,25626040.8310,29313548.3931,44497546.6836,24993584.0903,15648777.9315,68037081.3323
0.00148843,39727836.1149,43478622.2654,28942807.5366,74586653.2749,23978704.6520,6599781.3832,13698525.3430,11911745.4570,20946478.2061,4908718.1357,19219782.0479,80348054.6193,6505726.2575,94563735.1873,22071208.1028,23645700.3442,40490739.8876,42596006.1207,9380102.5007,4735669.7361,4799534.8655,267828342.9314,310806249.8632,42227684.1916,299386.7221,39757623.9909,4929554.5747,46140945.7537,8305645.6032,32637267.9520,126547856.7059,29325661.7805,961870.9939,30565331.6908,5771904.4710,8331839.1615,2969167.6806,49114928.0039,2134918.9909,165220690.1457,22738775.3580,29512349.0619,46762834.8151,5398722.9819,14967499.4565,47371856.2406,21979214.7185,58136934.4099,34375994.2774,78653485.7833,8419699.0911,4132699.4807,22313278.5911,2688880.8227,95080866.4160,106327219.5097,49882054.0336,3849993.5448,17401801.0985,54726239.5259,14043605.1759,1185093.6613,8011945.4810,9608340.5435,85860707.6285,68266714.3001,51482586.7431,17098742.1740,5506135.1039,139391571.0320
0.00186053,67739332.5263,31607219.4322,16443716.0643,66346762.4111,31395688.9765,1576801.4589,34116320.0513,35482752.2373,65248893.2669,4722457.4027,12263406.6122,23860322.4648,21950603.4079,51031639.9722,29502839.2848,26921808.9914,15128252.7394,75756328.1665,43531630.5499,4074770.1824,596430.4404,239713559.8468,28837261.2288,145700459.6183,9418140.2080,127566930.2861,46917168.0310,23337626.8997,78055496.7925,40875119.3406,30968828.0993,153680392.9116,22100172.0022,78084145.2734,2478474.9517,6581184.8476,39587180.7319,33580640.4552,760378.2046,9259000.1186,4377144.4088,16130293.4822,36520905.3752,2813247.7667,2120206.9858,21885540.9111,7887494.0791,14466500.8064,12516555.5809,39024385.7967,16049954.6528,4099775.7713,6810523.5293,2445348.3438,48273752.2503,134610948.9509,50731066.1587,10000476.5373,8956394.9716,1747637.9315,286511.1118,3517255.9070,3246734.5800,32175264.8929,146218233.9607,26860832.2224,33553626.5128,1910777.6994,13620707.6017,82946379.6164
0.00223264,14179767.3272,31807171.4612,51005129.3114,100927795.1043,14765638.7968,18734879.9209,19984132.1255,20857405.7749,62278730.0442,5229942.4396,9988461.3884,30775470.3831,32493422.7730,6601223.0931,27068137.0848,8096876.4035,7734116.8481,60327282.9359,27669837.2318,3854327.1332,763756.0394,79277121.3641,71026223.9231,235780754.5198,12444842.3734,197528454.0641,46097354.6562,10898915.3906,251685859.0993,136727970.9892,61799071.8979,117585628.1570,8434081.9682,28697790.9682,2094740.2377,4157983.0430,40892487.4058,21742394.4187,3434348.9648,30639572.6668,16442501.4086,115317.2047,7039251.2003,12801374.9286,3496464.8184,7260225.0440,52079557.5830,6235264.7833,44751033.5758,17978661.9375,4782294.6728,13553857.1170,12315833.1769,4077355.4419,100399162.8148,21476224.5231,32183413.3454,15086612.5189,1230648.9672,1225861.5984,48051816.4993,12784903.4687,1271572.8122,27883767.7258,61617940.0064,3143384.5241,5351121.2588,196486.2453,1324036.1070,4455929.2566
0.00260475,3077940.7644,62739275.1942,56968809.5662,7337860.1776,4545046.1184,7731269.3083,6868351.6523,488744.8546,117967373.3665,2612253.4685,20782399.0639,73077401.4026,17846589.8665,3347596.1204,23626701.0709,8724058.3918,69844261.0996,4197602.9168,1847.7203,8054524.4311,84437.1949,2175242.3549,88603091.0103,67515173.5326,14808193.7351,219740617.7355,14352261.1616,15988597.5811,86264893.0426,220474748.3561,36677541.8662,6927298.9813,15929381.7968,12412217.7837,5374315.7668,2303777.1323,9839487.1402,34445281.8025,9726259.2311,21376072.2205,58054490.2611,13986752.1265,7636564.1262,5973904.6805,2087577.9732,3488571.2569,37720423.1195,1306438.2994,85415411.5594,36174744.9825,7311057.4935,3680723.7726,7832558.1100,1270929.2985,7847068.8301,21654.9229,36531148.3904,18404581.2449,3207544.4116,1657166.3823,116896700.0768,2330986.0925,4703945.9122,10696108.8218,81586755.9947,1857313.9626,10187530.2996,4019785.7152,3392314.2360,23491500.2913
0.00297685,7543207.9579,39637077.6017,30240018.6895,16260122.7226,1263259.0877,2396847.2454,6020607.6215,230701.9884,25821430.2075,799278.7948,6466265.6455,18808319.4512,17087708.6421,38977064.2666,24103210.0462,4848067.7550,41207980.2866,2496944.8340,3292232.4892,2928014.8954,137039.6778,31936262.4584,66159380.5695,268522610.6799,55552651.0218,49459630.1373,3204698.1648,15897153.9965,14421696.0125,216704948.3945,67463591.1992,31829267.4100,24299705.4606,4785563.5957,745274.6848,4468329.1092,32627090.6481,5547985.9830,8377296.0706,5690533.3842,60751455.6396,10128089.7274,464603.9584,4765016.9033,3595402.5017,329054.0039,11981572.0924,6759658.1895,43232695.0773,40888174.8785,7079315.5079,6117000.5443,10376109.4336,11654653.5270,9883600.3305,18533534.3975,14644416.4783,6386956.4908,181250.7729,11074590.3039,33061569.5339,980402.0878,3612423.1978,3745393.6993,62707126.6310,7842870.0914,32886676.8697,10020401.1230,4074021.7514,105166577.4796
0.00334896,35953824.1445,11934306.4225,65090357.1847,39372074.2702,3336711.5992,9152168.9721,1527803.6119,9326640.6346,22786859.8078,518185.8893,8206029.2024,54810431.8513,1849709.7287,97556926.9463,2502022.4867,41025909.7852,18079373.5902,526770.8289,4431635.4916,14635459.4308,1051345.3851,138351444.2458,4626269.9260,58962991.6906,31964422.7491,41847240.5270,393702.2329,5261388.2154,29777710.7269,107228610.8902,99507342.8164,29698311.3672,1294166.3826,372060.9625,462185.5303,543160.9702,16911278.2777,10757893.8526,6184646.6380,30739892.2430,7058269.8444,8237299.9302,9980192.9581,7295177.8946,6662745.4090,8787788.9539,67946488.7037,5874418.4935,3559402.9221,19121494.7125,1200041.7253,2338784.5961,8728689.4132,15936952.5422,13687728.2258,37302248.4416,2106562.1924,4075627.9379,875889.7671,29267103.6245,34377410.4182,1646507.9305,719432.7805,6847.5904,13519334.7239,9213433.6078,8570111.2229,3523750.9231,18506120.3164,12544923.4261
0.00372107,39183800.4572,6282854.1471,50063403.5711,2999622.8009,6071977.6469,2965228.1166,11341468.0748,3837015.3864,56499493.2719,682621.2891,1101794.8976,217254004.0648,15729267.8602,39186778.7254,10698541.8620,17148542.3837,20948190.2437,6465203.6305,882063.7065,5269849.4964,988346.0591,21728577.2036,87731599.6870,105417879.6871,5947388.1357,158316288.4174,6676587.1370,6304206.9815,3962442.8205,46468490.9850,11604914.1541,44434443.2172,11530280.4272,5503037.0875,6381.8537,1795775.0881,1783644.4139,28233312.1907,3905069.1236,54036086.1641,51255720.4738,24600562.7682,197747.2169,2745239.3953,1079445.6385,14641953.3130,20466680.0548,3522620.8410,2250849.3874,10194365.7010,2222098.5110,2498821.9473,17548994.3544,4003330.4574,21934113.0028,12726526.8016,18120507.1135,4948976.3719,268988.7552,45573492.2229,77124555.5529,38634.3452,607793.9881,1795541.9045,31339865.9018,14842230.5048,1666542.1603,1417771.4208,8083383.2793,63258824.6132
