transect_id,mean_intensity,std_intensity
20251214_221838.JPG_T1,54.15,17.47
20251214_221838.JPG_T2,44.62,17.00
20251214_221838.JPG_T3,54.59,20.36
20251214_221838.JPG_T4,58.04,25.62
20251214_221838.JPG_T5,60.90,14.00
20251214_221853.JPG_T6,56.74,15.12
20251214_221853.JPG_T7,52.70,16.50
20251214_221853.JPG_T8,54.99,19.49
20251214_221853.JPG_T9,62.14,23.16
20251214_221853.JPG_T10,63.07,14.97
20251214_221853.JPG_T11,64.61,18.85
20251214_221920.JPG_T12,52.24,18.97
20251214_221920.JPG_T13,49.10,16.07
20251214_221920.JPG_T14,56.80,21.25
20251214_221920.JPG_T15,48.84,16.42
20251214_221942.JPG_T16,52.81,19.90
20251214_221942.JPG_T17,62.34,21.31
20251214_221942.JPG_T18,80.85,20.75
20251214_221942.JPG_T19,84.08,16.62
20251214_221942.JPG_T20,58.96,14.30
20251214_221942.JPG_T21,49.67,23.19
20251214_222017.JPG_T22,57.30,19.75
20251214_222017.JPG_T23,61.46,22.81
20251214_222017.JPG_T24,61.61,21.49
20251214_222017.JPG_T25,67.53,21.53
20251214_222031.JPG_T26,66.69,26.17
20251214_222031.JPG_T27,61.96,20.25
20251214_222031.JPG_T28,65.56,19.80
20251214_222031.JPG_T29,59.16,19.19
20251214_222052.JPG_T30,64.33,25.24
20251214_222052.JPG_T31,58.42,23.55
20251214_222052.JPG_T32,55.23,20.67
20251214_222052.JPG_T33,62.13,24.78
20251214_222121.JPG_T34,62.47,22.43
20251214_222121.JPG_T35,50.92,20.94
20251214_222121.JPG_T36,70.08,20.20
20251214_222121.JPG_T37,66.07,23.98
20251214_222121.JPG_T38,82.66,17.99
20251214_222121.JPG_T39,57.97,18.93
20251214_222146.JPG_T40,71.92,18.89
20251214_222146.JPG_T41,63.36,20.38
20251214_222146.JPG_T42,40.20,14.46
20251214_222146.JPG_T43,41.33,16.26
20251214_222146.JPG_T44,49.96,15.85
20251214_222146.JPG_T45,53.79,19.06
20251214_222146.JPG_T46,61.67,22.58
20251214_222205.JPG_T47,52.10,19.65
20251214_222205.JPG_T48,34.22,12.44
20251214_222205.JPG_T49,62.22,16.51
20251214_222205.JPG_T50,55.41,19.15
20251214_222205.JPG_T51,69.66,19.65
20251214_222313.JPG_T52,85.77,12.91
20251214_222313.JPG_T53,84.90,15.09
20251214_222313.JPG_T54,54.32,13.84
20251214_222452.JPG_T55,73.82,21.10
20251214_222452.JPG_T56,57.73,20.62
20251214_222452.JPG_T57,48.55,15.80
20251214_222452.JPG_T58,62.89,14.84
20251214_222530.JPG_T59,82.20,25.33
20251214_222530.JPG_T60,59.29,22.98
20251214_222530.JPG_T61,57.58,20.55
20251214_222530.JPG_T62,67.63,16.34
20251214_222530.JPG_T63,64.56,14.70
20251214_222530.JPG_T64,75.00,15.99
20251214_222552.JPG_T65,61.52,27.43
20251214_222552.JPG_T66,58.88,19.68
20251214_222552.JPG_T67,74.87,21.97
20251214_222552.JPG_T68,79.44,19.30
20251214_222552.JPG_T69,63.85,17.35
20251214_222552.JPG_T70,54.54,22.62
