frequency,20251210_155950.JPG_T1,20251210_155950.JPG_T2,20251210_155950.JPG_T3,20251210_155950.JPG_T4,20251210_155519.JPG_T5,20251210_155519.JPG_T6,20251210_155519.JPG_T7,20251210_155519.JPG_T8,20251210_155519.JPG_T9,20251210_155519.JPG_T10,20251210_155519.JPG_T11,20251210_155519.JPG_T12,20251210_155519.JPG_T13,20251210_155519.JPG_T14,20251210_155530.JPG_T15,20251210_155530.JPG_T16,20251210_155530.JPG_T17,20251210_155530.JPG_T18,20251210_155530.JPG_T19,20251210_155530.JPG_T20,20251210_155530.JPG_T21,20251210_155530.JPG_T22,20251210_155530.JPG_T23,20251210_155530.JPG_T24,20251210_155530.JPG_T25,20251210_155530.JPG_T26,20251210_155530.JPG_T27,20251210_155614.JPG_T28,20251210_155614.JPG_T29,20251210_155614.JPG_T30,20251210_155614.JPG_T31,20251210_155614.JPG_T32,20251210_155614.JPG_T33,20251210_155713.JPG_T34,20251210_155713.JPG_T35,20251210_155748.JPG_T36,20251210_155748.JPG_T37,20251210_155748.JPG_T38,20251210_155819.JPG_T39,20251210_155819.JPG_T40
0.00073479,3750130.6436,6534552.3123,2674143.7491,740169.4554,48130892.1691,43048269.3952,1796477.2654,14968242.1018,1938440.4925,398005397.6127,6866142.9533,32778568.7494,4753197.5861,20978771.3255,16015668.6979,7043440.1003,4678878.1186,9006032.2762,5341394.9392,5956565.1273,8213254.3511,8276486.3529,107061713.7681,2038513.7858,491247263.3062,57541872.6027,9287082.2705,118668285.8013,3372782.3574,2040654.3196,34425533.9873,112875011.9493,23028522.5527,3890166.1623,21789702.3662,7617151.0175,96395758.6269,10083784.6054,77362549.3468,11525784.9628
0.00146959,2270329.5866,5425749.2359,3214188.8565,3872521.4546,11415151.0227,36480291.0297,7244739.0178,10497699.0409,24845271.7855,101420902.6189,19308777.5769,3611254.5221,510040.9631,62013893.3272,29719084.3575,2755638.8307,3056240.5035,4342074.5103,1091025.3834,28121990.7492,8376904.0276,1032670.6861,93988206.4382,4084931.0540,187907403.8336,32340215.1162,24865306.6537,65146115.1558,2569442.5144,6135932.2833,13150885.6794,14747475.9438,8466059.1891,7694873.1689,6787200.1351,15341298.3363,25630595.6617,12430600.4031,22904001.8946,3246765.2383
0.00220438,3792373.4973,200785.0907,24656908.1365,2174352.0556,16571338.5851,12511611.1262,6831998.4453,4713694.4158,14573663.2522,92004432.1618,9233636.0641,605392.7478,735641.5354,5342803.1035,15970385.2216,22599041.4198,3716185.1948,1233923.4889,10190532.2265,33762303.1994,5910205.6076,14082170.8303,83863113.0683,2039880.6588,25287421.7482,7648127.6255,32097445.0645,25051949.2340,7153031.2978,7315456.2323,10060103.8267,7436535.2142,2947595.4454,25173306.5181,5900246.1082,4261484.5112,3210073.1490,40972966.7744,15359886.3141,21620509.5080
0.00293917,4813336.0453,167353.3606,14394261.5559,1098363.6032,3929217.0426,8372623.6263,6525024.7457,415801.3349,29555607.0060,21452927.2094,10993774.5949,1615291.8804,424833.0578,22712825.8600,9835992.0324,3546684.4095,11528908.5177,3265450.2382,6311091.1725,14622522.0840,5022045.3992,47420066.1597,23819104.8127,8177788.8079,56623665.3790,590574.3283,56412083.0404,2050747.9257,4645933.8435,3378946.6501,11379519.3819,26667936.3128,3884390.6641,18739454.7804,511793.4791,303056.8286,3995351.5917,6825844.3265,1208097.1119,15056227.0652
0.00367397,1459312.4670,657302.4998,412013.2635,3743445.3465,3940863.7624,4179445.3616,12465323.7130,534001.2126,10779094.3736,1785783.1104,5267177.6314,10301687.3521,4260352.6183,23949343.0337,1098199.9510,5493187.3773,4109056.5758,1420626.2391,2228762.0784,4007303.7626,3861438.5190,20526238.9100,1009027.0714,30472348.8118,22412353.4138,4622192.3549,28960102.9848,2552305.8028,1012866.9186,894765.5127,6475588.9643,28805179.8383,4155858.8755,2103046.9523,1301832.5232,57167.2136,3208445.7882,8918350.6469,1206208.5726,11511603.6443
0.00440876,3401815.2372,1530518.6534,11526101.5265,5253872.3973,6402466.2951,6219242.4080,1664572.6785,504871.2763,577901.2852,28780894.4374,19548670.3204,7614191.4233,604777.1578,6594336.0951,2228790.2748,3106459.2883,2440817.3465,240064.2939,5664434.4946,3613280.3106,5582297.2940,1989865.9204,10361645.4246,68148618.2384,11075309.5626,9237405.8674,22591484.0868,6742387.4689,128080.2580,760338.9724,3718410.9138,22311999.8315,6985044.4335,4262270.2343,2080977.2916,472946.1181,2382064.2984,13168336.0445,2802203.2559,13791597.0493
0.00514355,4176888.8099,496964.8073,9998369.0165,447969.7816,50605.6508,14096042.2192,584942.7089,1084682.9253,668210.1227,32708477.5896,9319800.3246,2591214.7504,758760.2935,6607831.6842,3988818.0021,995026.0664,3421187.3273,3206.0813,2497081.6166,11027415.7878,7689402.1918,5153895.9044,1914216.4506,31663949.4257,27327252.1967,1625230.1573,17455519.1277,1959554.5019,349187.5621,4399944.0370,1236973.2553,12218431.9543,4983567.6061,8537806.4627,422843.8515,69650.6818,6357634.6519,499603.3421,10278481.3206,9508079.5248
0.00587834,7865719.2074,322383.6549,2567396.9850,145265.7791,1390994.3164,8814480.8898,653280.9524,1437931.2992,9223556.3093,18117442.6785,1539743.3881,1142686.1713,228691.8801,3293736.4465,1302740.8842,2921427.2347,8408557.0381,81674.9403,1450251.6554,13661361.0745,6032148.9761,19231080.9220,1356175.0592,2601061.9624,39654432.2219,7713949.6000,12970474.5573,19766941.2992,1204355.4216,83821.9993,3147930.4107,56857145.2939,1950567.0326,10769227.2825,190139.8570,1252778.9719,11124798.1891,1138719.5700,4651469.9449,4869735.8018
0.00661314,583060.0113,790039.7873,1397020.9289,357754.2505,468455.0211,13327132.9151,343885.5521,4091143.0371,14062830.6485,16560569.9310,7093055.6995,2458648.6125,78730.2630,22437150.0316,245761.7746,2422437.7956,6506778.9236,211639.5287,1925945.3499,4034640.1147,2482951.8837,6275774.5828,1004158.8914,4148738.1786,30582345.8659,5532045.4869,3684278.5806,17332291.3285,711043.0060,2138234.9764,3183220.7784,43299477.0628,1635519.7431,6385323.6967,1497464.5035,1207744.1162,8403331.3367,161840.3092,2654416.1053,2154717.9870
0.00734793,810939.4324,471216.9878,2912674.8582,102450.6919,1033520.5343,4885381.3930,91185.8391,6742468.6137,265288.0218,19428352.2870,13048806.0510,846717.6974,85979.7733,1801561.5928,2054733.6247,504783.2388,369995.8018,122470.2165,560641.9070,2449745.8180,138267.1470,5685009.0062,24971084.8331,13339411.5317,16025196.5770,14723363.4391,2791052.9102,18131417.2016,143921.1328,623422.5642,470423.8358,35232642.3886,370255.7054,2526725.9976,5186730.9309,1081331.0233,809874.5440,6379503.4894,1183681.0986,446048.8950
