transect_id,mean_intensity,std_intensity
20251210_155950.JPG_T1,148.91,11.91
20251210_155950.JPG_T2,132.58,9.61
20251210_155950.JPG_T3,142.79,12.44
20251210_155950.JPG_T4,152.43,13.44
20251210_155519.JPG_T5,141.31,14.47
20251210_155519.JPG_T6,103.54,14.96
20251210_155519.JPG_T7,156.07,10.06
20251210_155519.JPG_T8,137.92,9.10
20251210_155519.JPG_T9,137.18,13.98
20251210_155519.JPG_T10,147.92,15.40
20251210_155519.JPG_T11,151.82,11.63
20251210_155519.JPG_T12,111.15,14.15
20251210_155519.JPG_T13,111.63,11.10
20251210_155519.JPG_T14,134.36,15.64
20251210_155530.JPG_T15,136.75,10.72
20251210_155530.JPG_T16,128.26,14.00
20251210_155530.JPG_T17,129.00,11.46
20251210_155530.JPG_T18,131.12,12.38
20251210_155530.JPG_T19,151.82,12.72
20251210_155530.JPG_T20,144.69,11.45
20251210_155530.JPG_T21,137.85,9.46
20251210_155530.JPG_T22,122.38,15.59
20251210_155530.JPG_T23,127.30,15.53
20251210_155530.JPG_T24,128.06,13.29
20251210_155530.JPG_T25,132.76,21.31
20251210_155530.JPG_T26,131.17,14.16
20251210_155530.JPG_T27,142.88,14.33
20251210_155614.JPG_T28,134.60,14.76
20251210_155614.JPG_T29,139.93,14.79
20251210_155614.JPG_T30,125.07,15.47
20251210_155614.JPG_T31,127.09,14.53
20251210_155614.JPG_T32,128.18,18.77
20251210_155614.JPG_T33,126.01,13.25
20251210_155713.JPG_T34,163.90,12.90
20251210_155713.JPG_T35,151.36,15.74
20251210_155748.JPG_T36,137.85,10.89
20251210_155748.JPG_T37,148.68,12.95
20251210_155748.JPG_T38,130.15,13.29
20251210_155819.JPG_T39,141.17,16.28
20251210_155819.JPG_T40,147.95,10.98
