transect_id,genus,slope,r2
20251214_221838.JPG_T1,Aspergillus,-3.161357882977708,0.7764913410708418
20251214_221838.JPG_T2,Aspergillus,-3.235818967426377,0.7868422897634846
20251214_221838.JPG_T3,Aspergillus,-3.1823949196799983,0.7696723836903081
20251214_221838.JPG_T4,Aspergillus,-2.836456863479155,0.7150643648161351
20251214_221838.JPG_T5,Aspergillus,-2.5952710767136087,0.6737600143821868
20251214_221853.JPG_T6,Aspergillus,-2.8663008847031226,0.7203038437320467
20251214_221853.JPG_T7,Aspergillus,-2.472697882072201,0.6541763243687082
20251214_221853.JPG_T8,Aspergillus,-2.822547631906205,0.724332037179578
20251214_221853.JPG_T9,Aspergillus,-2.7664788806005074,0.6938420345514698
20251214_221853.JPG_T10,Aspergillus,-2.2834646465649944,0.5935187466430161
20251214_221853.JPG_T11,Aspergillus,-2.6525747200814407,0.653876607537809
20251214_221920.JPG_T12,Aspergillus,-3.355210141460145,0.8056674456458246
20251214_221920.JPG_T13,Aspergillus,-3.1231034770245234,0.7575027245757161
20251214_221920.JPG_T14,Aspergillus,-3.265852054100572,0.7760490463938404
20251214_221920.JPG_T15,Aspergillus,-2.933742356740215,0.7158103325603101
20251214_221942.JPG_T16,Aspergillus,-2.629504244192963,0.6946517366298008
20251214_221942.JPG_T17,Aspergillus,-2.782480101901201,0.7036990528779935
20251214_221942.JPG_T18,Aspergillus,-2.809882836575118,0.7283326052261027
20251214_221942.JPG_T19,Aspergillus,-3.2550451608419513,0.7690864445373643
20251214_221942.JPG_T20,Aspergillus,-3.1498101483595744,0.7517971239467709
20251214_221942.JPG_T21,Aspergillus,-3.2114729300141476,0.7156037048803566
20251214_222017.JPG_T22,Aspergillus,-3.4532927015353754,0.8429114228762308
20251214_222017.JPG_T23,Aspergillus,-3.976507671654586,0.8465524179376026
20251214_222017.JPG_T24,Aspergillus,-3.5047104250300625,0.8273117261841499
20251214_222017.JPG_T25,Aspergillus,-2.4351995942768565,0.6210719239471686
20251214_222031.JPG_T26,Aspergillus,-3.4960042795710415,0.8352109377039224
20251214_222031.JPG_T27,Aspergillus,-2.95897787361325,0.7393990251804566
20251214_222031.JPG_T28,Aspergillus,-2.6736561188849874,0.6616443540873941
20251214_222031.JPG_T29,Aspergillus,-2.9987009480744993,0.7480385955457166
20251214_222052.JPG_T30,Aspergillus,-3.383686742762869,0.8053919912417934
20251214_222052.JPG_T31,Aspergillus,-3.147310009221887,0.7619640481903562
20251214_222052.JPG_T32,Aspergillus,-2.548448067732006,0.6735507517459618
20251214_222052.JPG_T33,Aspergillus,-2.5131620780930977,0.6985545150896866
20251214_222121.JPG_T34,Aspergillus,-3.020775400331331,0.7155925999726317
20251214_222121.JPG_T35,Aspergillus,-2.839653658721153,0.7133412022670761
20251214_222121.JPG_T36,Aspergillus,-2.7318059906697036,0.6965320810998266
20251214_222121.JPG_T37,Aspergillus,-2.828813222024503,0.7102879042215279
20251214_222121.JPG_T38,Aspergillus,-3.00834799478488,0.7341962267749016
20251214_222121.JPG_T39,Aspergillus,-2.8105459235651677,0.7045836412026356
20251214_222146.JPG_T40,Aspergillus,-3.829945473941803,0.8501692800595507
20251214_222146.JPG_T41,Aspergillus,-3.0531367816779302,0.7609295745798077
20251214_222146.JPG_T42,Aspergillus,-2.9514084043736157,0.7532247581343633
20251214_222146.JPG_T43,Aspergillus,-3.1125381047158354,0.7627707746545961
20251214_222146.JPG_T44,Aspergillus,-2.7190166476592155,0.6813929727028428
20251214_222146.JPG_T45,Aspergillus,-2.624550030198795,0.6796899689698495
20251214_222146.JPG_T46,Aspergillus,-3.1492146750442287,0.8024655823052828
20251214_222205.JPG_T47,Aspergillus,-3.0208332357873724,0.7365281245659541
20251214_222205.JPG_T48,Aspergillus,-2.3922226350661733,0.6260584337454116
20251214_222205.JPG_T49,Aspergillus,-3.1494613935112126,0.7743448728245758
20251214_222205.JPG_T50,Aspergillus,-2.882893182031583,0.7287298656165836
20251214_222205.JPG_T51,Aspergillus,-2.7653906904415666,0.651285041595794
20251214_222313.JPG_T52,Aspergillus,-2.7100362059252854,0.6831127969573194
20251214_222313.JPG_T53,Aspergillus,-3.0715694281481736,0.7650169154297317
20251214_222313.JPG_T54,Aspergillus,-2.997748349339184,0.7706115567534182
20251214_222452.JPG_T55,Aspergillus,-3.0290213192012563,0.7775978532814045
20251214_222452.JPG_T56,Aspergillus,-2.944434722255699,0.7541120813537262
20251214_222452.JPG_T57,Aspergillus,-2.949211371891013,0.7509937610515451
20251214_222452.JPG_T58,Aspergillus,-2.310865644334843,0.584881835802693
20251214_222530.JPG_T59,Aspergillus,-2.508924556476005,0.614790983924627
20251214_222530.JPG_T60,Aspergillus,-3.079348547510452,0.7533329510791248
20251214_222530.JPG_T61,Aspergillus,-2.994999354052982,0.7257347026882989
20251214_222530.JPG_T62,Aspergillus,-2.2879833344044074,0.5499149199221128
20251214_222530.JPG_T63,Aspergillus,-3.0113567534201957,0.7153333638959815
20251214_222530.JPG_T64,Aspergillus,-3.1209788281423734,0.7692409863328166
