,metric,groups_tested,KW_H,KW_p,group_A,median_A,IQR_A,group_B,median_B,IQR_B,U,p_raw,p_bonf,Cliff_d,effect_size,linear_R2,linear_p,quad_coeff,F_for_curvature,p_curvature,curvature_sig,OLS_slope,OLS_slope_SE,OLS_slope_95CI,OLS_intercept,TheilSen_slope,TheilSen_95CI,slope_pct_diff,Pearson_r,Pearson_p,R2,R2_boot_95CI,Spearman_rho,Spearman_p,regression,n,slope_SE,slope_95CI,intercept,intercept_SE,intercept_95CI,p_value,slope_pct_diff_OLS_vs_TS,Healthy_median,Healthy_IQR,Diseased_median,Diseased_IQR,MW_U,MW_p,Welch_t,Welch_p,effect,analysis,min_detectable_f2,min_detectable_R2,alpha,power,section,group,statistic
═══ KRUSKAL-WALLIS TESTS ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,"Agar, 0.5:1, 1:1, 2:1, Green, White, Black",30.438,3.244e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,zone_metric,"Agar, 0.5:1, 1:1, 2:1, Green, White, Black",29.482,4.93e-05,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,dtau50_dr,"Agar, 0.5:1, 1:1, 2:1, Green, White, Black",27.490,0.0001172,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,max_slope,"Agar, 0.5:1, 1:1, 2:1, Green, White, Black",17.745,0.006903,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
═══ PAIRWISE MANN-WHITNEY U (Bonferroni-corrected) ═══,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,Agar,100.1,92.4–101.6,0.5:1,247.3,236.9–317.9,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,Agar,100.1,92.4–101.6,1:1,420.1,363.7–420.5,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,Agar,100.1,92.4–101.6,2:1,872.9,803.2–933.4,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,Agar,100.1,92.4–101.6,Green,297.8,285.6–311.7,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,Agar,100.1,92.4–101.6,White,126.2,123–131.6,4.0,0.09524,1,-0.680,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,Agar,100.1,92.4–101.6,Black,111.7,98–125.4,10.0,0.6905,1,-0.200,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,0.5:1,247.3,236.9–317.9,1:1,420.1,363.7–420.5,2.0,0.03175,0.6667,-0.840,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,0.5:1,247.3,236.9–317.9,2:1,872.9,803.2–933.4,0.0,0.007937,0.1667,-1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,0.5:1,247.3,236.9–317.9,Green,297.8,285.6–311.7,10.0,0.6905,1,-0.200,small,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,0.5:1,247.3,236.9–317.9,White,126.2,123–131.6,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,delta_um,,,,0.5:1,247.3,236.9–317.9,Black,111.7,98–125.4,25.0,0.007937,0.1667,1.000,large,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
