metric,group_A,median_A,IQR_A,group_B,median_B,IQR_B,U,p_raw,p_bonf,Cliff_d,effect_size
delta_um,Agar,100.1,92.4–101.6,0.5:1,247.3,236.9–317.9,0.0,0.007937,0.1667,-1.000,large
delta_um,Agar,100.1,92.4–101.6,1:1,420.1,363.7–420.5,0.0,0.007937,0.1667,-1.000,large
delta_um,Agar,100.1,92.4–101.6,2:1,872.9,803.2–933.4,0.0,0.007937,0.1667,-1.000,large
delta_um,Agar,100.1,92.4–101.6,Green,297.8,285.6–311.7,0.0,0.007937,0.1667,-1.000,large
delta_um,Agar,100.1,92.4–101.6,White,126.2,123–131.6,4.0,0.09524,1,-0.680,large
delta_um,Agar,100.1,92.4–101.6,Black,111.7,98–125.4,10.0,0.6905,1,-0.200,small
delta_um,0.5:1,247.3,236.9–317.9,1:1,420.1,363.7–420.5,2.0,0.03175,0.6667,-0.840,large
delta_um,0.5:1,247.3,236.9–317.9,2:1,872.9,803.2–933.4,0.0,0.007937,0.1667,-1.000,large
delta_um,0.5:1,247.3,236.9–317.9,Green,297.8,285.6–311.7,10.0,0.6905,1,-0.200,small
delta_um,0.5:1,247.3,236.9–317.9,White,126.2,123–131.6,25.0,0.007937,0.1667,1.000,large
delta_um,0.5:1,247.3,236.9–317.9,Black,111.7,98–125.4,25.0,0.007937,0.1667,1.000,large
delta_um,1:1,420.1,363.7–420.5,2:1,872.9,803.2–933.4,0.0,0.007937,0.1667,-1.000,large
delta_um,1:1,420.1,363.7–420.5,Green,297.8,285.6–311.7,22.0,0.05556,1,0.760,large
delta_um,1:1,420.1,363.7–420.5,White,126.2,123–131.6,25.0,0.007937,0.1667,1.000,large
delta_um,1:1,420.1,363.7–420.5,Black,111.7,98–125.4,25.0,0.007937,0.1667,1.000,large
delta_um,2:1,872.9,803.2–933.4,Green,297.8,285.6–311.7,25.0,0.007937,0.1667,1.000,large
delta_um,2:1,872.9,803.2–933.4,White,126.2,123–131.6,25.0,0.007937,0.1667,1.000,large
delta_um,2:1,872.9,803.2–933.4,Black,111.7,98–125.4,25.0,0.007937,0.1667,1.000,large
delta_um,Green,297.8,285.6–311.7,White,126.2,123–131.6,25.0,0.007937,0.1667,1.000,large
delta_um,Green,297.8,285.6–311.7,Black,111.7,98–125.4,25.0,0.007937,0.1667,1.000,large
delta_um,White,126.2,123–131.6,Black,111.7,98–125.4,19.0,0.2222,1,0.520,large
