track_id,distance_um,death_cause,lifetime_s,n_frames_evap,n_frames_total,K_fit,R2_gof,R0_fit_um,K_fit_se
0,3214.885027475284,lost,330,30,30,11.021046891756795,0.6440170065834696,84.95060127872986,1.5484949447804504
1,2566.3413463352335,lost,490,22,34,4.266142514698187,0.5358633875179958,50.168224102723855,0.887802233082012
2,2363.929406147604,lost,720,12,41,22.61269793825526,0.613410500726314,72.98353794548693,5.676776617910383
3,2162.346349769038,lost,360,13,29,15.681495149144059,0.622614052998816,69.6095951505891,3.681073829866366
4,1788.561036278099,lost,450,18,30,14.087003493520774,0.8358024643553089,66.11916465047462,1.5609540708930585
5,1455.5134785391688,lost,660,8,35,27.95182923327431,0.5997244073755167,70.1203780252452,9.32262685949567
6,1167.579356520778,lost,170,7,16,13.37320366846527,0.8738975270953789,44.494566731215244,2.2718622909787087
7,1051.2949461826315,lost,660,14,29,0.7139341413352123,0.33251096234990496,22.696567659857177,0.2920025290099614
8,879.0022550129347,lost,530,12,24,4.114797467130823,0.8207972794026831,38.84300726428785,0.6079989217044913
9,757.7641753823448,lost,140,7,7,3.0742104346025063,0.9087255278347093,25.38497922241276,0.43571939409290095
10,790.5973200205786,lost,140,5,7,9.259297181002696,0.779771008747498,35.683113687376114,2.840999114580177
11,2750.3311743222594,lost,540,27,35,4.261748018826798,0.6472517853733196,47.15459353784007,0.6292359791482877
12,1069.3012605611282,lost,540,12,25,8.652496648766668,0.7754159455638074,41.80955861507042,1.4725279095954924
13,2032.1094599751473,lost,870,23,44,5.746424000488957,0.8134308722456842,50.016834697413756,0.6005478062823986
14,2900.5196144126903,lost,380,25,31,8.479815000774042,0.737765824980335,57.30218193205922,1.0541631662926108
15,3038.587238825363,lost,570,25,38,11.417881412444261,0.6233456434872022,72.09315163966903,1.8506685439119475
16,952.9736199541767,lost,370,14,18,7.611195720253082,0.6911893612399824,56.47145345505365,1.4686214643290363
17,1331.4283874061716,lost,590,7,30,27.04332676380227,0.9574273619702484,52.113748092213825,2.5502777228559093
19,2636.8824161457505,lost,760,28,43,7.190109936653522,0.7294565192893707,60.45557949766974,0.8587518553986093
20,1653.2757913107387,lost,660,17,35,9.304739503801052,0.7466332957902102,50.16754790517414,1.3995218525283495
21,1914.5379978439128,lost,440,24,29,5.981933662395701,0.7306180650087826,57.98785376051895,0.7744070233966858
22,1101.1349190816213,lost,670,13,30,8.415505074612518,0.7992242266577658,45.59164747927289,1.271760047046242
23,2795.46616833644,lost,760,29,43,3.8922570198888327,0.6330950528621628,48.839015186068,0.5702456123501539
24,1516.050937032631,lost,360,9,25,38.64455630148913,0.7563350719783961,70.5703847658376,8.290461316804935
25,2411.3760356369467,lost,400,17,31,23.301668806849086,0.6933862307716806,87.11310312919473,4.00082555967276
26,982.6026989299213,lost,620,11,27,13.814960741015714,0.7439966512171649,47.74322067800566,2.701255929256497
27,1756.7601454768528,lost,290,22,24,9.234590205432777,0.7770045704863745,60.14130665170732,1.1062131692229331
28,1221.5449936555951,lost,750,14,34,7.931707016527584,0.716829089181779,47.52058411098091,1.4391052222463643
29,2071.6502933696975,lost,440,13,31,20.512282318548248,0.6470313732281768,81.79715706226234,4.5679677141578034
