track_id,distance_um,death_cause,lifetime_s,n_frames_evap,n_frames_total,K_fit,R2_gof,R0_fit_um,K_fit_se
1,2109.2190797759336,lost,620,47,47,3.7138673672849527,0.7524040248994414,71.49543770189914,0.3175896700887349
2,1918.9015590212791,lost,410,19,40,3.324309214307707,0.1903691222267478,56.401873348045044,1.6627319058506453
3,1712.9509211770971,lost,710,47,50,2.405795802533959,0.7738692510876536,56.95999436786346,0.19386460342331524
4,1493.105308954903,lost,770,39,52,2.0793724546453287,0.8854594355084225,38.743739382548085,0.12294949493482789
5,1382.8421788489136,lost,1060,59,61,0.3297139635986632,0.17633675536614013,34.13450867041197,0.09438507664180586
6,1280.536865124393,lost,1100,60,63,0.22935282907760834,0.16170002614958068,31.04079472620746,0.06857010050111077
7,1182.5601422029758,lost,1010,40,60,2.4854415218652885,0.7640968484795213,46.27810943947451,0.22402909180327046
8,994.1460263223847,lost,920,46,49,0.47866722373881565,0.5464163894101012,26.03322173259045,0.06574673198673134
9,869.9159687287605,lost,960,48,59,2.8869771302571547,0.7294478358605531,63.75103049070192,0.25923450893849853
10,367.987259127175,lost,540,45,45,1.2781310316369785,0.19283758100490073,56.48638804965082,0.39877303208936726
12,3082.745146497247,lost,510,33,42,2.105003137866632,0.5932524628137323,65.99460219443161,0.313050636937057
13,2304.6478120918628,lost,670,38,48,8.163256813262116,0.9175444039528213,81.74991590406566,0.40785776156808806
14,1031.7691539375003,lost,860,40,55,4.558787166466747,0.8899280466320042,58.053957006067975,0.26008685820647504
15,2852.7581369725053,lost,440,40,41,20.12002317694149,0.6322074265954196,139.52575730323906,2.489478383137489
16,1553.4196433641748,lost,650,36,46,3.896928785805699,0.9679448172194673,49.9999290109061,0.12162051560889671
17,1301.739168710488,lost,1030,32,56,2.8553543453419916,0.8789229202394596,38.50482660600765,0.19348841087052493
18,604.9690863125065,lost,450,42,42,6.02584597903291,0.8775267961552533,67.4674835611297,0.3559412958538054
19,715.3226495567092,lost,810,38,54,5.665698864894012,0.45095280876214006,77.36718897969142,1.0419371581492167
20,477.5476369877648,lost,690,40,50,5.313653834193142,0.7719303505839451,69.29899961056499,0.46853943449632846
21,1207.9548105884635,lost,920,39,57,3.7297411342931737,0.8225927890857156,55.126416478198514,0.28475477362271584
22,1451.857771501679,lost,980,40,59,3.0364862152426357,0.7945791340327342,52.492107412840404,0.250457023711701
23,2417.14421616649,lost,950,37,56,5.243051077787922,0.8605778000840824,59.2961970696468,0.356714663844426
24,1094.3698492282335,lost,920,39,57,4.0142178140450415,0.8644368232797925,53.83304728688404,0.26133905188063883
25,1954.6597393425586,lost,440,39,41,5.959022082876268,0.7849402677008805,68.14555022631453,0.5127850778986325
26,889.3986086452966,lost,720,35,49,3.4219651960228465,0.9502830886152781,48.10069748365667,0.13625240859793292
27,2568.3461618531524,lost,390,38,38,7.9904164144270755,0.933767005627935,81.55543634151692,0.3546795062769489
28,1322.042105729032,lost,560,39,45,6.330777076972241,0.8868429484235321,72.87999537048647,0.3717693755976901
29,95.84617001404538,lost,950,20,44,4.948270257392045,0.8461077154873113,48.80200764767907,0.49740798685186033
30,1698.0499987321157,lost,920,39,57,4.9151104610249545,0.7944653782525376,61.62111811864199,0.41099584043509535
32,968.0812622807584,lost,470,38,42,6.1758202672443625,0.8975629615675383,65.65618181651077,0.34772782459719725
33,1566.3325585212544,lost,770,39,52,5.180778820162667,0.8194562206411917,66.20860629357387,0.3997813922337517
34,1796.7906965517063,lost,710,38,50,5.93192816795946,0.8208817060026358,68.00945229224675,0.4618216796311552
35,2235.861172100158,lost,1050,33,57,4.701628843150294,0.916544813471413,54.40887399498538,0.25481049355426844
36,1455.109796203268,lost,740,40,51,4.03042698876874,0.8653712614364787,54.32359607305508,0.25788549414186634
37,487.47950137499555,lost,630,42,48,4.757670276513332,0.8312376686189401,57.7389867286236,0.33895301028909974
38,784.7048605363018,lost,740,39,51,4.622070049280277,0.7842285866347953,57.08682800188147,0.3985761241570898
39,1141.5396366700961,lost,680,39,49,5.466504515907278,0.7655859562099011,74.46741300244963,0.4972830809236125
40,2401.7816788529553,lost,820,37,53,6.2154083522511385,0.7122898525879922,75.65054311700467,0.6677053499034077
41,337.41819423699627,lost,420,40,41,6.528032805076088,0.7878045380966048,70.59618201177551,0.549603306215911
42,2046.4326217253813,lost,470,39,42,8.655740623042114,0.6728093659615766,85.82774395690129,0.9923338117689922
43,631.6317936300795,lost,570,43,46,8.157307494528885,0.8116093481152574,87.80798746270943,0.6137776349403363
44,1884.372435042097,lost,730,38,50,4.709526486664176,0.9142925117619024,65.84842310877343,0.24032159395106373
45,1646.536523263705,lost,1030,39,60,3.899587378200235,0.9105923675284782,58.512205398762525,0.20088295513241525
46,1340.8032087519966,lost,980,36,59,4.5137526096484795,0.79009065975732,56.001790352501445,0.3990025874050707
47,2552.660597577155,lost,540,38,43,8.277618268952072,0.8938451413202948,86.59511913591159,0.47543696024491583
