trial,group,delta_um,dtau50_dr,dtau50_dr_sm,K_near,K_far,K_ratio,near_edge,dK_dr,dK_dr_r,dK_dr_p,n_drops
agar.1,Agar,77.8,0.1011904761904762,-0.0418362731795567,2.1859319853812282,5.58090370879743,0.39168064876938213,413.6708821600194,1.4288471163052148,0.3447763745203677,2.702119044000616e-16,532
agar.2,Agar,92.4,-0.0036764705882352,-0.0931372549019607,2.7686509408949416,5.473095491980237,0.5058656376363,558.0553083312387,1.1018996160655334,0.26403300568015214,1.7141770083728995e-11,629
agar.3,Agar,163.5,-0.0892857142857144,-0.236013986013986,4.407771274018363,6.626084464812316,0.6652150749701035,663.4691676886964,1.575957728487822,0.29572499070545905,7.670303637815615e-10,416
agar.4,Agar,100.1,0.0102124183006536,-0.2205882352941177,2.6824793328044434,3.7411145572372932,0.7170267821965276,578.637616588453,0.598651715398738,0.22016200925093823,1.2542720445779026e-11,926
agar.5,Agar,101.6,-0.0714285714285715,-0.2468671679197998,2.856234737446409,5.39415106287807,0.5295058859405495,467.8693771790879,1.0689121885088135,0.26540923522360144,6.742394634805318e-10,524
0.5to1.2,0.5:1,337.3,0.4963235294117647,0.1100993377483442,5.490993563205998,8.46120263275774,0.6489613594582276,765.7002655763099,0.7338373126317426,0.1154639276779203,0.034102988535728754,337
0.5to1.3,0.5:1,232.3,1.0319917440660478,0.6740196078431371,2.6664833016734444,5.92290043215012,0.45019890714344873,553.8873188123542,1.2819244844124429,0.26219172783330524,3.951864268847623e-10,552
0.5to1.4,0.5:1,236.9,0.8174019607843137,0.2708333333333334,2.742160806330629,5.078789535563874,0.5399240876450653,575.3011613128208,0.910310126126877,0.23669185480188962,2.891978842591919e-09,614
0.5to1.5,0.5:1,247.3,0.8292483660130718,0.2273550724637682,2.8187592664009586,4.432441919553769,0.635938229436458,624.1986260862351,0.6264169060299809,0.18986658213933794,1.2872961102285266e-07,762
0.5to1.7,0.5:1,317.9,0.8419117647058824,0.6676136363636362,2.9509021182296302,9.307894546240547,0.31703218204395084,622.6362419722692,3.4050930144512286,0.41035139511714697,1.3103850409135009e-21,497
1to1.1,1:1,420.5,1.0845588235294117,1.318361126053434,2.798332160295148,8.314549226904473,0.3365584933023451,680.4796964878415,2.2951900307458692,0.30381536807112175,1.4477527920389336e-12,520
1to1.2,1:1,286.6,0.8809523809523812,0.6373626373626375,1.973680508372639,3.5131159728827575,0.5618034029070483,595.7377237440477,0.8190515244265442,0.2485148857752098,5.804316551764062e-16,1030
1to1.3,1:1,420.1,1.2916666666666667,0.879120879120879,1.8678950921529145,4.097320823410363,0.45588206846789975,770.4130826572516,1.1498458915276755,0.2892003890999839,1.006824270610946e-17,844
1to1.4,1:1,363.7,0.904761904761905,0.5695970695970696,3.921131472253287,4.337624664939778,0.9039812743474721,842.9427412493969,0.5493835539005342,0.11929259342954392,0.00027665898467056985,925
1to1.5,1:1,462.7,0.8601190476190478,0.8113553113553114,1.4904176844094477,4.525000461788751,0.3293740402891096,753.3936924206225,1.5121587399526766,0.3218641432828266,9.360847216227506e-23,884
2to1.1,2:1,681.1,1.762820512820512,1.318181818181818,2.2509322871208486,3.8126321070695632,0.5903880111975827,927.8215549357649,0.9517467704310747,0.27434180903556626,6.7137748514580904e-15,778
2to1.2,2:1,803.2,1.744505494505494,1.4947552447552448,4.024636156161413,7.295254985568843,0.5516786135813996,1020.3497784424288,1.3298500757733034,0.16491819571257388,0.0004242028531079781,453
